       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.4000        0.0000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.46084   9.79029   8.83582  1.01875E+00  9.51289E-01  1.84601E+08  2.13160E+08  1.40756E+16  2.13160E+06 -2.74884E+15  2.85714 -99.00000   0.88226   0.85652   0.14617 -234.81306
2.02   1.48078   9.80924   8.84072  1.02432E+00  1.03083E+00  7.49100E+07  1.21084E+08 -9.32826E+15  1.15634E+06 -2.97832E+15  2.85714 -99.00000   0.63371   0.62107   0.38815 -234.88214
2.04   1.50152   9.82782   8.84349  1.01350E+00  1.03229E+00  5.89552E+07  1.18499E+08 -1.02473E+16  1.08072E+06 -2.98757E+15  2.85714 -99.00000   0.50424   0.50666   0.50000 -234.95122
2.06   1.52194   9.84613   8.84463  1.00545E+00  1.01005E+00  5.82041E+07  1.16308E+08 -3.34368E+15  1.01300E+06 -2.92606E+15  2.85714 -99.00000   0.50316   0.50271   0.50000 -235.02029
2.08   1.54192   9.86428   8.84451  1.00464E+00  9.87171E-01  5.69280E+07  1.11412E+08  4.46798E+15  9.26685E+05 -2.85962E+15  2.85714 -99.00000   0.51334   0.50231   0.50000 -235.08937
2.10   1.56141   9.88236   8.84356  1.00701E+00  9.63503E-01  2.76843E+08  3.05908E+08  1.32944E+16  2.42991E+06 -2.78783E+15  2.85714 -99.00000   0.91133   0.90070   0.10000 -235.15845
2.12   1.58073   9.90048   8.84234  1.01549E+00  9.77784E-01  1.37560E+08  1.70190E+08  8.46063E+15  1.29103E+06 -2.82470E+15  2.85714 -99.00000   0.82079   0.80087   0.20221 -235.22754
2.14   1.60072   9.91867   8.84131  1.01632E+00  1.02134E+00  5.80616E+07  1.14838E+08 -8.51058E+15  8.31928E+05 -2.95045E+15  2.85714 -99.00000   0.51385   0.50803   0.50000 -235.29662
2.16   1.62149   9.93698   8.84036  1.00518E+00  1.04715E+00  6.02954E+07  1.25144E+08 -1.97220E+16  8.65788E+05 -3.03038E+15  2.85714 -99.00000   0.48430   0.50258   0.50000 -235.36569
2.18   1.64219   9.95540   8.84137  9.95007E-01  1.01676E+00  2.96200E+08  3.30101E+08 -7.35389E+15  2.18096E+06 -2.94721E+15  2.85714 -99.00000   0.89282   0.89950   0.10000 -235.43477
2.20   1.66204   9.97394   8.84615  9.94786E-01  9.68440E-01  2.82087E+08  3.12687E+08  1.44936E+16  1.97292E+06 -2.80616E+15  2.85714 -99.00000   0.89743   0.89948   0.10000 -235.50385
2.22   1.68125   9.99259   8.85321  1.00869E+00  9.64497E-01  2.48641E+08  2.77948E+08  1.70421E+16  1.67480E+06 -2.78969E+15  2.85714 -99.00000   0.90234   0.88973   0.11123 -235.57292
2.24   1.70085  10.01136   8.85848  1.01862E+00  9.96467E-01  7.29032E+07  1.16161E+08  1.77415E+15  6.68435E+05 -2.87950E+15  2.85714 -99.00000   0.63929   0.61933   0.38776 -235.64200
2.26   1.72105  10.03028   8.86108  1.01691E+00  1.01871E+00  5.79235E+07  1.14148E+08 -9.84402E+15  6.27293E+05 -2.94514E+15  2.85714 -99.00000   0.51602   0.50831   0.50000 -235.71107
2.28   1.74139  10.04934   8.86132  1.01190E+00  1.01119E+00  5.78251E+07  1.14228E+08 -6.17166E+15  5.99476E+05 -2.92567E+15  2.85714 -99.00000   0.51225   0.50588   0.50000 -235.78015
2.30   1.76140  10.06855   8.85884  1.00814E+00  9.89747E-01  2.84059E+08  3.14706E+08  5.91920E+15  1.57727E+06 -2.86371E+15  2.85714 -99.00000   0.90996   0.90081   0.10000 -235.84923
2.32   1.78115  10.08791   8.85506  1.01105E+00  9.91507E-01  9.86870E+07  1.36821E+08  5.13131E+15  6.54866E+05 -2.86713E+15  2.85714 -99.00000   0.72926   0.71579   0.28735 -235.91830
2.34   1.80119  10.10742   8.85466  1.01068E+00  1.01260E+00  2.89743E+08  3.21626E+08 -7.96995E+15  1.47011E+06 -2.92838E+15  2.85714 -99.00000   0.91049   0.90106   0.10000 -235.98738
2.36   1.82161  10.12710   8.85863  1.00430E+00  1.02491E+00  2.95417E+08  3.28832E+08 -1.65189E+16  1.43540E+06 -2.96687E+15  2.85714 -99.00000   0.90224   0.90043   0.10000 -236.05646
2.38   1.84196  10.14694   8.86350  9.99747E-01  1.00539E+00  2.91340E+08  3.23924E+08 -3.74748E+15  1.35034E+06 -2.91267E+15  2.85714 -99.00000   0.89918   0.89997   0.10000 -236.12553
2.40   1.86174  10.16691   8.86656  1.00081E+00  9.72835E-01  1.17776E+08  1.53377E+08  1.97585E+16  6.10606E+05 -2.81693E+15  2.85714 -99.00000   0.76851   0.76121   0.23898 -236.19461
2.42   1.88113  10.18700   8.86817  1.01142E+00  9.75386E-01  8.31918E+07  1.22268E+08  1.87201E+16  4.64852E+05 -2.82035E+15  2.85714 -99.00000   0.68817   0.66860   0.33519 -236.26370
2.44   1.90093  10.20717   8.86979  1.01690E+00  1.00533E+00  1.06580E+08  1.44151E+08 -4.24031E+15  5.23379E+05 -2.90562E+15  2.85714 -99.00000   0.75186   0.73636   0.26809 -236.33278
2.46   1.92126  10.22740   8.87187  1.01183E+00  1.02326E+00  1.08867E+08  1.48836E+08 -1.94043E+16  5.16070E+05 -2.95973E+15  2.85714 -98.99999   0.74011   0.73446   0.26869 -236.40184
2.48   1.94167  10.24769   8.87389  1.00497E+00  1.01411E+00  8.38404E+07  1.28963E+08 -1.23373E+16  4.27035E+05 -2.93598E+15  2.85714 -98.99999   0.65334   0.65327   0.34846 -236.47090
