       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.4000        0.6000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.18430  11.31937   8.64380  1.31870E+00  9.59126E-01  1.11180E+08  1.17670E+08  6.24806E+15  1.17670E+06 -1.46612E+15  4.64326 -99.00000   1.24596   0.92417   0.10000 -234.81306
2.02   1.21040  11.31975   8.76653  1.23521E+00  1.53024E+00  9.21940E+07  1.16543E+08 -8.60727E+16  1.11298E+06 -2.37222E+15  4.64326 -99.00000   0.97714   0.83135   0.20831 -234.88214
2.04   1.24176  11.32011   8.79324  1.13683E+00  1.54316E+00  4.32026E+07  1.07209E+08 -9.47751E+16  9.77755E+05 -2.45570E+15  4.64326 -99.00000   0.45812   0.56018   0.50000 -234.95122
2.06   1.27052  11.32050   8.76705  1.07133E+00  1.30931E+00  1.98446E+08  2.23998E+08 -5.76649E+16  1.95094E+06 -2.12601E+15  4.64326 -99.00000   0.94912   0.90666   0.10000 -235.02029
2.08   1.29347  11.32093   8.71414  1.04979E+00  9.72179E-01  1.51397E+08  1.66045E+08  5.46817E+15  1.38110E+06 -1.58935E+15  4.64326 -99.00000   0.95718   0.90474   0.10000 -235.08937
2.10   1.30881  11.32140   8.64163  1.08007E+00  5.41963E-01  8.11580E+07  8.51122E+07  9.32641E+16  6.76071E+05 -8.76563E+14  4.64326 -99.00000   1.02989   0.90741   0.10000 -235.15845
2.12   1.31762  11.32192   8.54876  1.16652E+00  4.89068E-01  5.58801E+07  5.83606E+07  1.06166E+17  4.42710E+05 -7.70891E+14  4.64326 -99.00000   1.11694   0.89862   0.11826 -235.22754
2.14   1.33431  11.32244   8.46332  1.20178E+00  1.29769E+00  6.71059E+07  8.67184E+07 -6.42799E+16  6.28219E+05 -2.02994E+15  4.64326 -99.00000   0.92998   0.79055   0.25171 -235.29662
2.16   1.36975  11.32293   8.43037  1.07928E+00  2.00000E+00  6.44675E+07  3.22267E+08 -2.34290E+17  2.22954E+06 -3.24178E+15  4.64326 -99.00000   0.21590   0.56831   0.46592 -235.36569
2.18   1.40627  11.32346   8.44964  9.55753E-01  1.50668E+00  5.30852E+07  3.02840E+08 -1.29123E+17  2.00084E+06 -2.53682E+15  4.64326 -99.00000   0.16754   0.47685   0.50000 -235.43477
2.20   1.42766  11.32412   8.51496  9.35704E-01  5.80238E-01  1.04744E+08  1.12178E+08  1.12373E+17  7.07796E+05 -9.80092E+14  4.64326 -99.00000   0.87369   0.89313   0.10000 -235.50385
2.22   1.43107  11.32496   8.64058  1.04873E+00  1.00000E-01  1.55025E+07  1.56448E+07  2.42835E+17  9.42692E+04 -1.62580E+14  4.64326 -99.00000   1.03920   0.90465   0.10000 -235.57292
2.24   1.42971  11.32595   8.78675  1.25064E+00  1.83434E-01  1.45194E+07  1.47906E+07  2.19633E+17  8.51111E+04 -2.83913E+14  4.64326 -99.00000   1.22771   0.87498   0.15635 -235.64200
2.26   1.44694  11.32703   8.83555  1.30610E+00  1.50477E+00  3.54372E+07  6.33994E+07 -1.41264E+17  3.48406E+05 -2.31423E+15  4.64326 -99.00000   0.73005   0.61718   0.50000 -235.71107
2.28   1.48035  11.32822   8.76252  1.17872E+00  1.64859E+00  2.21847E+08  2.51715E+08 -1.96031E+17  1.32102E+06 -2.61496E+15  4.64326 -99.00000   1.03886   0.91516   0.10000 -235.78015
2.30   1.50897  11.32960   8.64661  1.09574E+00  1.17187E+00  1.73038E+08  1.91754E+08 -5.54836E+16  9.61044E+05 -1.89605E+15  4.64326 -99.00000   0.98879   0.90874   0.10000 -235.84923
2.32   1.52923  11.33118   8.51923  1.09571E+00  9.65062E-01  1.03234E+08  1.16128E+08  1.18178E+16  5.55823E+05 -1.56239E+15  4.64326 -99.00000   0.97405   0.87394   0.13812 -235.91830
2.34   1.55096  11.33290   8.45068  1.09958E+00  1.26751E+00  3.74730E+07  7.87524E+07 -9.51283E+16  3.59968E+05 -2.06023E+15  4.64326 -99.00000   0.52322   0.54528   0.50000 -235.98738
2.36   1.58059  11.33471   8.49345  1.04705E+00  1.61048E+00  2.55611E+08  2.99626E+08 -2.32414E+17  1.30792E+06 -2.67636E+15  4.64326 -99.00000   0.89323   0.90449   0.10000 -236.05646
2.38   1.61070  11.33663   8.58592  9.88735E-01  1.32783E+00  2.28436E+08  2.64340E+08 -1.33769E+17  1.10195E+06 -2.25863E+15  4.64326 -99.00000   0.85444   0.89886   0.10000 -236.12553
2.40   1.63192  11.33870   8.64790  9.89807E-01  7.59204E-01  1.30835E+08  1.41825E+08  1.03173E+17  5.64616E+05 -1.29501E+15  4.64326 -99.00000   0.91311   0.89897   0.10000 -236.19461
2.42   1.64305  11.34091   8.66322  1.07253E+00  4.83387E-01  1.50649E+07  1.90721E+07  2.27098E+17  7.25102E+04 -8.07873E+14  4.64326 -99.00000   0.84718   0.53381   0.50000 -236.26370
2.44   1.65638  11.34317   8.66110  1.16024E+00  9.71777E-01  1.37847E+08  1.48572E+08  1.27933E+16  5.39432E+05 -1.59936E+15  4.64326 -99.00000   1.07649   0.91381   0.10000 -236.33278
2.46   1.68427  11.34541   8.66788  1.12283E+00  1.71284E+00  2.55667E+08  2.95863E+08 -3.44558E+17  1.02587E+06 -2.87070E+15  4.64326 -99.00000   0.97028   0.91094   0.10000 -236.40186
2.48   1.71837  11.34766   8.68093  1.02530E+00  1.59856E+00  1.75045E+08  2.28664E+08 -3.12949E+17  7.57178E+05 -2.76755E+15  4.64326 -99.00000   0.78488   0.84960   0.15420 -236.47093
2.50   1.74640  11.34999   8.68745  9.81869E-01  1.18823E+00  4.26851E+07  1.11235E+08 -1.04978E+17  3.51755E+05 -2.09556E+15  4.64326 -99.00000   0.37678   0.49077   0.50000 -236.54001
2.52   1.76686  11.35236   8.68637  1.00814E+00  9.05245E-01  1.58529E+08  1.74029E+08  5.53946E+16  5.25559E+05 -1.59820E+15  4.64326 -99.00000   0.91835   0.90081   0.10000 -236.60909
