       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.2000        0.5000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.18417  11.23894   8.59296  5.16453E-01  6.69431E-01  1.98084E+08  2.64458E+08  5.05169E+16  2.64458E+06 -1.02301E+15  5.32467 -99.00000   0.38683   0.80637   0.10000 -234.81306
2.02   1.21142  11.23928   8.66590  5.58925E-01  1.20317E+00  1.53847E+08  9.46100E+08 -3.30584E+16  9.03518E+06 -1.86960E+15  5.32467 -99.00000   0.09089   0.61100   0.21742 -234.88214
2.04   1.21142  11.23928   8.66590  5.58925E-01  1.20317E+00  1.53847E+08  9.46100E+08 -3.30584E+16  9.03518E+06 -1.86960E+15  5.32467 -99.00000   0.09089   0.61100   0.21742 -234.88214
2.06   1.25145  11.24003   8.68165  5.66115E-01  1.17767E+00  3.23271E+08  5.11070E+08 -3.16999E+16  4.45124E+06 -1.83008E+15  5.32467 -99.00000   0.35809   0.82336   0.10000 -235.02029
2.08   1.27320  11.24042   8.64468  5.22502E-01  9.44157E-01  2.81941E+08  4.30993E+08  1.04754E+16  3.58484E+06 -1.47315E+15  5.32467 -99.00000   0.34180   0.80861   0.10000 -235.08937
2.10   1.29016  11.24085   8.59634  5.23632E-01  8.05579E-01  2.38367E+08  3.37537E+08  3.79235E+16  2.68115E+06 -1.24817E+15  5.32467 -99.00000   0.36979   0.80903   0.10000 -235.15845
2.12   1.30774  11.24129   8.54438  5.52992E-01  9.53215E-01  2.65590E+08  3.85870E+08  9.50265E+15  2.92713E+06 -1.46869E+15  5.32467 -99.00000   0.38062   0.81917   0.10000 -235.22754
2.14   1.32709  11.24177   8.50377  5.07568E-01  9.93481E-01  1.30425E+08  1.18965E+09  1.38444E+15  8.61825E+06 -1.52845E+15  5.32467 -99.00000   0.05565   0.54511   0.23089 -235.29662
2.16   1.32709  11.24177   8.50377  5.07568E-01  9.93481E-01  1.30425E+08  1.18965E+09  1.38444E+15  8.61825E+06 -1.52845E+15  5.32467 -99.00000   0.05565   0.54511   0.23089 -235.29662
2.18   1.37689  11.24278   8.48397  5.28280E-01  1.16508E+00  3.47040E+08  5.95746E+08 -3.93169E+16  3.93606E+06 -1.83334E+15  5.32467 -99.00000   0.30774   0.81071   0.10000 -235.43477
2.20   1.39652  11.24341   8.51828  5.36537E-01  8.28937E-01  2.42910E+08  3.41143E+08  4.26264E+16  2.15247E+06 -1.30330E+15  5.32467 -99.00000   0.38204   0.81362   0.10000 -235.50385
2.22   1.41175  11.24415   8.59811  5.48265E-01  7.27099E-01  2.06231E+08  2.72032E+08  7.04297E+16  1.63916E+06 -1.13069E+15  5.32467 -99.00000   0.41565   0.81761   0.10000 -235.57292
2.24   1.42633  11.24502   8.68789  5.06413E-01  7.60097E-01  1.40836E+08  2.73525E+08  6.40271E+16  1.57397E+06 -1.16734E+15  5.32467 -99.00000   0.26075   0.67680   0.16367 -235.64200
2.26   1.42633  11.24502   8.68789  5.06413E-01  7.60097E-01  1.40836E+08  2.73525E+08  6.40271E+16  1.57397E+06 -1.16734E+15  5.32467 -99.00000   0.26075   0.67680   0.16367 -235.64200
2.28   1.46922  11.24721   8.67639  5.30089E-01  1.17119E+00  3.41589E+08  5.85718E+08 -5.04323E+16  3.07389E+06 -1.81072E+15  5.32467 -99.00000   0.30915   0.81135   0.10000 -235.78015
2.30   1.49051  11.24856   8.60220  5.27591E-01  1.00929E+00  2.96638E+08  4.65383E+08 -2.87364E+15  2.33244E+06 -1.56504E+15  5.32467 -99.00000   0.33629   0.81046   0.10000 -235.84923
2.32   1.51164  11.25007   8.52832  5.55453E-01  1.07608E+00  2.54995E+08  4.33638E+08 -2.47137E+16  2.07552E+06 -1.67296E+15  5.32467 -99.00000   0.32663   0.78735   0.11812 -235.91830
2.34   1.51164  11.25007   8.52832  5.55453E-01  1.07608E+00  2.54995E+08  4.33638E+08 -2.47137E+16  2.07552E+06 -1.67296E+15  5.32467 -99.00000   0.32663   0.78735   0.11812 -235.91830
2.36   1.55515  11.25349   8.50944  5.71401E-01  1.29608E+00  3.55498E+08  5.89510E+08 -1.06305E+17  2.57331E+06 -2.03132E+15  5.32467 -99.00000   0.34458   0.82499   0.10000 -236.05646
2.38   1.57991  11.25536   8.56072  5.46119E-01  1.10569E+00  3.20821E+08  5.09832E+08 -4.01761E+16  2.12533E+06 -1.75206E+15  5.32467 -99.00000   0.34366   0.81689   0.10000 -236.12553
2.40   1.59985  11.25735   8.60321  5.67332E-01  9.30497E-01  2.59855E+08  3.65527E+08  2.76605E+16  1.45519E+06 -1.47424E+15  5.32467 -99.00000   0.40332   0.82374   0.10000 -236.19461
2.42   1.64285  11.25927   8.61238  6.76018E-01  8.17626E-01  3.68534E+07  3.49512E+08  6.66522E+16  1.32881E+06 -1.13607E+15  5.32467 -99.00000   0.07128   0.26037   0.50000 -236.17159
2.44   1.65868  11.26370   8.61886  5.99948E-01  1.33537E+00  3.03516E+08  5.32384E+08 -1.52828E+17  1.84597E+06 -2.11000E+15  5.32467 -99.00000   0.34203   0.80686   0.11587 -236.40186
2.46   1.65868  11.26370   8.61886  5.99948E-01  1.33537E+00  3.03516E+08  5.32384E+08 -1.52828E+17  1.84597E+06 -2.11000E+15  5.32467 -99.00000   0.34203   0.80686   0.11587 -236.40186
2.48   1.68475  11.26587   8.62898  5.74583E-01  1.20625E+00  1.81898E+08  5.60865E+08 -9.98054E+16  1.85720E+06 -1.93282E+15  5.32467 -99.00000   0.18635   0.67815   0.18493 -236.47093
2.50   1.68475  11.26587   8.62898  5.74583E-01  1.20625E+00  1.81898E+08  5.60865E+08 -9.98054E+16  1.85720E+06 -1.93282E+15  5.32467 -99.00000   0.18635   0.67815   0.18493 -236.47093
2.52   1.75627  11.27017   8.63221  7.56280E-01  9.64768E-01  4.00902E+07  2.55985E+08  1.67188E+16  7.73064E+05 -1.38258E+15  5.32467 -99.00000   0.11844   0.33887   0.50000 -236.51698
2.54   1.74758  11.27249   8.63527  6.10502E-01  8.98107E-01  5.91653E+07  1.75557E+09  5.69808E+16  5.06313E+06 -1.44848E+15  5.32467 -99.00000   0.02057   0.34314   0.40101 -236.67816
2.56   1.76702  11.27460   8.64067  6.50682E-01  1.03385E+00  1.44257E+08  2.54511E+08 -1.97961E+16  7.00980E+05 -1.66523E+15  5.32467 -99.00000   0.36881   0.72735   0.17741 -236.74724
2.58   1.78752  11.27661   8.64831  6.19522E-01  1.02027E+00  1.02920E+08  3.27690E+08 -1.24266E+16  8.61912E+05 -1.64525E+15  5.32467 -99.00000   0.19458   0.58350   0.25803 -236.81631
2.60   1.78752  11.27661   8.64831  6.19522E-01  1.02027E+00  1.02920E+08  3.27690E+08 -1.24266E+16  8.61912E+05 -1.64525E+15  5.32467 -99.00000   0.19458   0.58350   0.25803 -236.81631
2.62   1.83672  11.28040   8.64977  6.59821E-01  1.25302E+00  3.12792E+08  4.39196E+08 -1.73730E+17  1.05356E+06 -2.06386E+15  5.32467 -99.00000   0.46992   0.84844   0.10000 -236.95447
2.64   1.88241  11.28221   8.64721  8.24680E-01  1.11179E+00  4.39720E+07  2.40775E+08 -7.42678E+16  5.51584E+05 -1.69212E+15  5.32467 -99.00000   0.15061   0.39370   0.50000 -236.95447
2.66   1.87904  11.28420   8.65166  6.86965E-01  8.45894E-01  9.65120E+07  1.55337E+08  1.16643E+17  3.39839E+05 -1.40073E+15  5.32467 -99.00000   0.42682   0.69246   0.21127 -237.09262
2.68   1.89487  11.28622   8.65775  6.54800E-01  7.94783E-01  7.70853E+07  1.47872E+08  1.61095E+17  3.08948E+05 -1.30351E+15  5.32467 -99.00000   0.34135   0.60561   0.25825 -237.16170
2.70   1.89487  11.28622   8.65775  6.54800E-01  7.94783E-01  7.70853E+07  1.47872E+08  1.61095E+17  3.08948E+05 -1.30351E+15  5.32467 -99.00000   0.34135   0.60561   0.25825 -237.16170
2.72   1.96842  11.29049   8.66054  8.68406E-01  1.20973E+00  4.50207E+07  2.27458E+08 -1.62208E+17  4.33411E+05 -1.78281E+15  5.32467 -99.00000   0.17188   0.42423   0.50000 -237.20775
2.74   1.98390  11.29295   8.66183  8.39334E-01  1.15980E+00  4.52250E+07  2.55734E+08 -1.34112E+17  4.65359E+05 -1.77126E+15  5.32467 -99.00000   0.14843   0.40429   0.50000 -237.29987
2.76   1.98215  11.29568   8.66462  6.97219E-01  9.68264E-01  4.63241E+07  1.13568E+10  3.04580E+16  1.97359E+07 -1.61490E+15  5.32467 -99.00000   0.00284   0.28287   0.50000 -237.43802
2.78   1.99967  11.29859   8.66648  6.77227E-01  8.26557E-01  4.45298E+07  2.46232E+08  1.73312E+17  4.08644E+05 -1.37071E+15  5.32467 -99.00000   0.12247   0.32884   0.45453 -237.50710
2.80   2.01695  11.30174   8.67149  7.10940E-01  9.19691E-01  6.95966E+07  1.57237E+08  8.35062E+16  2.49205E+05 -1.51564E+15  5.32467 -99.00000   0.31468   0.56913   0.30632 -237.57617
2.82   2.03577  11.30512   8.67905  6.80183E-01  9.41330E-01  6.22401E+07  2.42689E+08  6.37060E+16  3.67325E+05 -1.54707E+15  5.32467 -99.00000   0.17444   0.46274   0.36544 -237.64525
2.84   2.07913  11.30865   8.67828  8.63519E-01  1.18817E+00  4.45415E+07  2.19110E+08 -1.96640E+17  3.16710E+05 -1.79476E+15  5.32467 -99.00000   0.17554   0.42097   0.50000 -237.64525
2.86   2.08117  11.31263   8.67842  7.17980E-01  1.33392E+00  3.09163E+08  4.17092E+08 -4.02543E+17  5.75747E+05 -2.21973E+15  5.32467 -99.00000   0.53219   0.86072   0.10000 -237.78340
2.88   2.10620  11.31674   8.67067  7.18378E-01  1.18273E+00  2.77159E+08  3.59564E+08 -2.33349E+17  4.73998E+05 -1.99105E+15  5.32467 -98.66553   0.55374   0.86080   0.10000 -237.08234
2.90   2.12835  11.32105   8.66650  7.46835E-01  9.94525E-01  2.25288E+08  2.74175E+08  7.35769E+15  3.45166E+05 -1.68253E+15  5.32467 -99.00000   0.61367   0.86610   0.10000 -237.92155
2.92   2.14582  11.32558   8.66731  7.16875E-01  8.06462E-01  5.77081E+07  1.18872E+08  2.70759E+17  1.42916E+05 -1.35644E+15  5.32467 -99.00000   0.34802   0.54262   0.32788 -237.99063
2.94   2.16346  11.33043   8.66899  7.50178E-01  1.02291E+00  4.57671E+07  4.86465E+08 -3.33779E+16  5.58536E+05 -1.71119E+15  5.32467 -99.00000   0.07058   0.33562   0.49840 -238.05971
2.96   2.18728  11.33570   8.66846  7.55973E-01  1.27916E+00  2.85561E+08  3.67908E+08 -4.29664E+17  4.03404E+05 -2.15876E+15  5.32467 -94.06232   0.58677   0.86772   0.10000 -226.75937
2.98   2.21240  11.34118   8.66863  7.71535E-01  1.24234E+00  2.74972E+08  3.47495E+08 -3.95206E+17  3.63872E+05 -2.12150E+15  5.32468 -76.29053   0.61051   0.87039   0.10000 -185.90739
3.00   2.23613  11.34638   8.67407  7.89300E-01  1.07699E+00  2.35018E+08  2.84138E+08 -1.32614E+17  2.84138E+05 -1.85500E+15  5.32467 -53.77787   0.65285   0.87331   0.10000 -134.13913
3.02   2.25507  11.35127   8.68493  7.68482E-01  8.73770E-01  1.48700E+08  1.84579E+08  2.27109E+17  1.76271E+05 -1.50131E+15  5.32467 -31.24747   0.61910   0.82904   0.13138  -82.33005
3.04   2.27349  11.35708   8.69341  8.06803E-01  1.01233E+00  5.98851E+07  1.35442E+08 -2.31509E+16  1.23524E+05 -1.73307E+15  5.32467 -13.48097   0.35673   0.55541   0.35870  -41.49026
3.06   2.29566  11.36487   8.69313  8.07007E-01  1.14563E+00  2.44249E+08  2.96386E+08 -2.87690E+17  2.58142E+05 -1.97110E+15  5.32468  -5.04780   0.66505   0.87609   0.10000  -22.14125
3.08   2.31763  11.37240   8.68874  8.17369E-01  1.03778E+00  2.19438E+08  2.59793E+08 -7.84954E+16  2.16086E+05 -1.79362E+15  5.32468  -5.30003   0.69040   0.87766   0.10000  -22.79111
3.10   2.33652  11.37527   8.68800  8.37660E-01  8.33027E-01  8.34960E+07  1.10410E+08  3.62383E+17  8.77019E+04 -1.43609E+15  5.32464  -8.37239   0.63347   0.75488   0.20533  -29.93455
3.12   2.35345  11.37414   8.69334  8.62723E-01  9.90990E-01  1.58924E+08  1.90267E+08  2.03317E+16  1.44332E+05 -1.69635E+15  5.32454  -9.44611   0.72060   0.85659   0.12372  -32.47596
3.14   2.37976  11.38020   8.70114  9.00670E-01  1.62793E+00  1.70265E+08  2.70265E+08 -1.50548E+18  1.95790E+05 -2.82747E+15  5.32443  -8.79583   0.56741   0.79529   0.18438  -31.04770
3.16   2.41308  11.40166   8.70787  7.59489E-01  1.61137E+00  1.38536E+08  5.92574E+08 -1.58266E+18  4.09961E+05 -2.88589E+15  5.32439  -7.93737   0.17756   0.63886   0.27428  -29.14011
3.18   2.41308  11.40166   8.70787  7.59489E-01  1.61137E+00  1.38536E+08  5.92574E+08 -1.58266E+18  4.09961E+05 -2.88589E+15  5.32439  -7.93737   0.17756   0.63886   0.27428  -29.14011
3.20   2.53998  11.41238   8.70273  2.09559E-01  1.29480E-01  1.17726E+08  1.66950E+08  2.51048E+18  1.00597E+05 -2.24998E+14  5.32109  -8.67419   0.14777   0.52281   0.10000  -30.95184
3.22   2.53998  11.41238   8.70273  2.09559E-01  1.29480E-01  1.17726E+08  1.66950E+08  2.51048E+18  1.00597E+05 -2.24998E+14  5.32109  -8.67419   0.14777   0.52281   0.10000  -30.95184
3.24   2.53575  11.40928   8.70074  1.11910E-01  1.00000E-01  1.76556E+08  8.76100E+08  3.09025E+18  5.04143E+05 -1.97584E+14  5.31714  -8.71971   0.02255   0.10643   0.10000  -31.21783
3.26   2.53575  11.40928   8.70074  1.11910E-01  1.00000E-01  1.76556E+08  8.76100E+08  3.09025E+18  5.04143E+05 -1.97584E+14  5.31714  -8.71971   0.02255   0.10643   0.10000  -31.21783
3.28   2.53083  11.46596   8.70012  2.07547E-01  1.00000E-01  8.58455E+07  1.11800E+08  3.05545E+18  5.86734E+04 -1.78169E+14  5.30013  -8.31090   0.15936   0.51818   0.10000  -30.41466
3.30   2.55211  11.48883   8.71390  9.27270E-01  2.00000E+00  3.85417E+08  5.02240E+08 -3.56539E+18  2.51716E+05 -3.57386E+15  5.28191 -22.67304   0.71158   0.89216   0.10000  -63.55378
3.32   2.55211  11.48883   8.71390  9.27270E-01  2.00000E+00  3.85417E+08  5.02240E+08 -3.56539E+18  2.51716E+05 -3.57386E+15  5.28191 -22.67304   0.71158   0.89216   0.10000  -63.55378
3.34   2.55211  11.48883   8.71390  9.27270E-01  2.00000E+00  3.85417E+08  5.02240E+08 -3.56539E+18  2.51716E+05 -3.57386E+15  5.28191 -22.67304   0.71158   0.89216   0.10000  -63.55378
3.36   2.55211  11.48883   8.71390  9.27270E-01  2.00000E+00  3.85417E+08  5.02240E+08 -3.56539E+18  2.51716E+05 -3.57386E+15  5.28191 -22.67304   0.71158   0.89216   0.10000  -63.55378
3.38   2.91403  11.75320   8.82892  8.02454E-01  2.00000E+00  7.77388E+08  1.12762E+09 -8.20404E+18  4.28708E+05 -6.23818E+15  4.51793 -24.03738   0.55322   0.87538   0.10000  -67.10976
3.40   2.91403  11.75320   8.82892  8.02454E-01  2.00000E+00  7.77388E+08  1.12762E+09 -8.20404E+18  4.28708E+05 -6.23818E+15  4.51793 -24.03738   0.55322   0.87538   0.10000  -67.10976
3.42   2.91403  11.75320   8.82892  8.02454E-01  2.00000E+00  7.77388E+08  1.12762E+09 -8.20404E+18  4.28708E+05 -6.23818E+15  4.51793 -24.03738   0.55322   0.87538   0.10000  -67.10976
3.44   2.91403  11.75320   8.82892  8.02454E-01  2.00000E+00  7.77388E+08  1.12762E+09 -8.20404E+18  4.28708E+05 -6.23818E+15  4.51793 -24.03738   0.55322   0.87538   0.10000  -67.10976
3.46   2.91403  11.75320   8.82892  8.02454E-01  2.00000E+00  7.77388E+08  1.12762E+09 -8.20404E+18  4.28708E+05 -6.23818E+15  4.51793 -24.03738   0.55322   0.87538   0.10000  -67.10976
3.48   3.02390  11.87295   8.87605  5.37176E-01  2.00000E+00  1.24399E+09  4.05343E+09 -1.05658E+19  1.28181E+06 -6.68243E+15  3.64352  -6.46813   0.16486   0.81384   0.10000  -26.93139
3.50   3.02390  11.87295   8.87605  5.37176E-01  2.00000E+00  1.24399E+09  4.05343E+09 -1.05658E+19  1.28181E+06 -6.68243E+15  3.64352  -6.46813   0.16486   0.81384   0.10000  -26.93139
3.52   3.02390  11.87295   8.87605  5.37176E-01  2.00000E+00  1.24399E+09  4.05343E+09 -1.05658E+19  1.28181E+06 -6.68243E+15  3.64352  -6.46813   0.16486   0.81384   0.10000  -26.93139
3.54   3.02390  11.87295   8.87605  5.37176E-01  2.00000E+00  1.24399E+09  4.05343E+09 -1.05658E+19  1.28181E+06 -6.68243E+15  3.64352  -6.46813   0.16486   0.81384   0.10000  -26.93139
3.56   3.02390  11.87295   8.87605  5.37176E-01  2.00000E+00  1.24399E+09  4.05343E+09 -1.05658E+19  1.28181E+06 -6.68243E+15  3.64352  -6.46813   0.16486   0.81384   0.10000  -26.93139
3.58   3.18862  12.00128   8.86083  2.36252E-01  5.06551E-01  7.58342E+08  8.20275E+09  7.61835E+18  1.87914E+06 -1.79160E+15  3.47611  -5.95606   0.02184   0.57672   0.10000  -26.23584
3.60   3.18862  12.00128   8.86083  2.36252E-01  5.06551E-01  7.58342E+08  8.20275E+09  7.61835E+18  1.87914E+06 -1.79160E+15  3.47611  -5.95606   0.02184   0.57672   0.10000  -26.23584
3.62   3.18862  12.00128   8.86083  2.36252E-01  5.06551E-01  7.58342E+08  8.20275E+09  7.61835E+18  1.87914E+06 -1.79160E+15  3.47611  -5.95606   0.02184   0.57672   0.10000  -26.23584
3.64   3.18862  12.00128   8.86083  2.36252E-01  5.06551E-01  7.58342E+08  8.20275E+09  7.61835E+18  1.87914E+06 -1.79160E+15  3.47611  -5.95606   0.02184   0.57672   0.10000  -26.23584
3.66   3.20384  12.03333   8.87800  7.17672E-01  2.59423E-01  1.26452E+08  1.33159E+08  1.18416E+19  2.91319E+04 -9.07508E+14  3.47615  -5.52388   0.68152   0.86066   0.10000  -25.30978
3.68   3.16826  12.03995   8.90306  2.00000E+00  1.00000E-01  3.57414E+06  3.61303E+06  1.32587E+19  7.54870E+02 -3.07793E+14  3.47537  -5.14899   1.97847   0.78471   0.43058  -24.51564
3.70   3.14203  11.90358   8.89308  9.84440E-01  1.00000E-01  2.81088E+07  2.84019E+07  1.24817E+19  5.66692E+03 -2.76714E+14  3.47454  -4.81220   0.97428   0.89842   0.10000  -23.80924
3.72   3.14172  11.74105   8.83121  2.53055E-01  1.00000E-01  1.04352E+08  1.23663E+08  1.24726E+19  2.35636E+04 -2.64068E+14  3.47422  -4.49437   0.21354   0.60483   0.10000  -23.14649
3.74   3.14173  11.76800   8.82024  1.48446E-01  1.00000E-01  1.69889E+08  3.11038E+08  1.24732E+19  5.65997E+04 -2.52194E+14  3.47391  -4.19033   0.08108   0.32635   0.10000  -22.51549
3.76   3.14145  12.50044   8.97618  1.52066E-01  1.00000E-01  1.58276E+08  2.78875E+08  1.24649E+19  4.84630E+04 -2.40684E+14  3.47286  -3.89846   0.08631   0.34239   0.10000  -21.91251
3.78   3.23006  12.00699   8.88111  1.11969E+00  2.00000E+00  4.80834E+08  5.72099E+08 -1.69849E+19  9.06716E+04 -5.38384E+15  3.46827  -3.34837   0.94107   0.91069   0.10000  -20.78403
3.80   3.23006  12.00699   8.88111  1.11969E+00  2.00000E+00  4.80834E+08  5.72099E+08 -1.69849E+19  9.06716E+04 -5.38384E+15  3.46827  -3.34837   0.94107   0.91069   0.10000  -20.78403
3.82   3.33774  11.64531   8.62834  6.78645E-01  2.00000E+00  9.42047E+08  1.70507E+09 -2.17639E+19  2.58073E+05 -6.58819E+15  3.46484  -3.08981   0.37495   0.84815   0.10305  -20.25774
3.84   3.38890  11.66599   8.67052  5.40504E-01  1.54196E+00  1.00965E+09  2.13823E+09 -1.32699E+19  3.09068E+05 -5.45723E+15  3.45797  -2.84177   0.25522   0.81499   0.10000  -19.75569
