       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.1000        0.1000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.31436  10.57498   8.70705  1.05519E+00  1.23445E+00  2.41274E+08  2.71359E+08 -4.83526E+16  2.71359E+06 -2.54589E+15  3.95944 -99.00000   0.93820   0.90523   0.10000 -234.81306
2.02   1.33634  10.57693   8.71752  9.84683E-01  9.83139E-01  7.14517E+07  1.01140E+08  3.65773E+15  9.65882E+05 -2.03682E+15  3.95944 -99.00000   0.69564   0.70600   0.28950 -234.88214
2.04   1.35612  10.57891   8.72203  1.02924E+00  1.02610E+00  4.12884E+07  8.00654E+07 -5.92561E+15  7.30205E+05 -2.12478E+15  3.95944 -99.00000   0.53076   0.51420   0.50000 -234.95122
2.06   1.37684  10.58094   8.72174  1.03557E+00  1.02078E+00  4.08908E+07  7.80250E+07 -4.94819E+15  6.79570E+05 -2.11727E+15  3.95944 -99.00000   0.54271   0.51718   0.50000 -235.02029
2.08   1.39663  10.58303   8.71850  1.02060E+00  9.66163E-01  1.96254E+08  2.16319E+08  8.43378E+15  1.79926E+06 -2.00298E+15  3.95944 -99.00000   0.92594   0.90202   0.10000 -235.08937
2.10   1.41591  10.58521   8.71339  1.04040E+00  9.62129E-01  1.91400E+08  2.10072E+08  9.86756E+15  1.66866E+06 -1.99132E+15  3.95944 -99.00000   0.94792   0.90388   0.10000 -235.15845
2.12   1.43502  10.58750   8.70761  1.03587E+00  9.52994E-01  1.90020E+08  2.08542E+08  1.27988E+16  1.58195E+06 -1.96837E+15  3.95944 -99.00000   0.94387   0.90346   0.10000 -235.22754
2.14   1.45457  10.58990   8.70290  1.03925E+00  1.02167E+00  6.74882E+07  9.42992E+07 -6.17274E+15  6.83138E+05 -2.10804E+15  3.95944 -99.00000   0.74377   0.71079   0.30056 -235.29662
2.16   1.47607  10.59241   8.70013  1.03870E+00  1.10275E+00  4.39632E+07  8.99142E+07 -3.07504E+16  6.22054E+05 -2.28323E+15  3.95944 -99.00000   0.50787   0.51863   0.50000 -235.36569
2.18   1.49752  10.59505   8.70098  1.01197E+00  1.03410E+00  2.12280E+08  2.36124E+08 -1.07204E+16  1.56005E+06 -2.14820E+15  3.95944 -99.00000   0.90978   0.90118   0.10000 -235.43477
