       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.3000        0.6000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.15509  11.31789   8.59975  7.14345E-01  2.36648E-01  4.73457E+07  4.96481E+07  1.09097E+17  4.96481E+05 -3.38212E+14  5.25304 -99.00000   0.68122   0.86001   0.10000 -234.81306
2.02   1.17388  11.31824   8.73666  9.36778E-01  1.69749E+00  1.31257E+08  2.11910E+08 -1.04093E+17  2.02372E+06 -2.41931E+15  5.25304 -99.00000   0.58024   0.78996   0.19676 -234.88214
2.04   1.23083  11.31887   8.74211  7.49235E-01  1.18262E+00  2.33913E+08  2.96344E+08 -3.10724E+16  2.58105E+06 -1.75255E+15  5.25304 -99.00000   0.59139   0.86653   0.10000 -235.02029
2.06   1.23083  11.31887   8.74211  7.49235E-01  1.18262E+00  2.33913E+08  2.96344E+08 -3.10724E+16  2.58105E+06 -1.75255E+15  5.25304 -99.00000   0.59139   0.86653   0.10000 -235.02029
2.08   1.25394  11.31923   8.68005  7.59224E-01  1.02682E+00  2.01865E+08  2.45618E+08 -4.81202E+15  2.04296E+06 -1.53260E+15  5.25304 -99.00000   0.62398   0.86829   0.10000 -235.08937
2.10   1.27025  11.31963   8.59762  7.16698E-01  6.13487E-01  1.26683E+08  1.43866E+08  7.20136E+16  1.14277E+06 -9.07935E+14  5.25304 -99.00000   0.63110   0.86047   0.10000 -235.15845
2.12   1.28171  11.32007   8.50081  7.60642E-01  6.71609E-01  1.21316E+08  1.38267E+08  6.28211E+16  1.04886E+06 -9.74610E+14  5.25304 -99.00000   0.66739   0.86115   0.10562 -235.22754
2.14   1.30084  11.32051   8.42058  7.59737E-01  1.22938E+00  1.00720E+08  1.99675E+08 -4.58572E+16  1.44652E+06 -1.78045E+15  5.25304 -99.00000   0.38323   0.69374   0.23268 -235.29662
2.16   1.30084  11.32051   8.42058  7.59737E-01  1.22938E+00  1.00720E+08  1.99675E+08 -4.58572E+16  1.44652E+06 -1.78045E+15  5.25304 -99.00000   0.38323   0.69374   0.23268 -235.29662
2.18   1.36393  11.32140   8.39485  7.20802E-01  1.45611E+00  3.08540E+08  4.28684E+08 -1.05440E+17  2.83228E+06 -2.22396E+15  5.25304 -99.00000   0.51879   0.86127   0.10000 -235.43477
2.20   1.38500  11.32198   8.45842  7.02007E-01  6.29690E-01  1.37336E+08  1.57455E+08  8.98598E+16  9.93476E+05 -9.64112E+14  5.25304 -99.00000   0.61231   0.85755   0.10000 -235.50385
2.22   1.39172  11.32272   8.59341  7.57416E-01  1.90817E-01  3.74116E+07  3.86988E+07  1.99421E+17  2.33183E+05 -2.83361E+14  5.25304 -99.00000   0.73222   0.86797   0.10000 -235.57292
2.24   1.39818  11.32359   8.75013  7.66955E-01  5.64391E-01  7.20806E+07  8.39120E+07  1.08963E+17  4.82863E+05 -8.12388E+14  5.25304 -99.00000   0.65882   0.80840   0.14695 -235.64200
2.26   1.43094  11.32450   8.78344  8.06518E-01  1.23598E+00  4.33873E+07  8.68859E+08 -5.80507E+16  4.77473E+06 -1.67088E+15  5.25304 -99.00000   0.04027   0.38005   0.50000 -235.66502
2.28   1.44390  11.32569   8.72852  7.94074E-01  1.54898E+00  2.84500E+08  3.77148E+08 -1.52565E+17  1.97930E+06 -2.25914E+15  5.25304 -99.00000   0.59901   0.87407   0.10000 -235.78015
2.30   1.47041  11.32698   8.60019  7.24078E-01  1.07355E+00  2.19504E+08  2.76024E+08 -2.17256E+16  1.38340E+06 -1.58938E+15  5.25304 -99.00000   0.57581   0.86189   0.10000 -235.84923
2.32   1.49024  11.32845   8.46682  7.75385E-01  1.02452E+00  1.57627E+08  1.99881E+08 -7.58074E+15  9.56692E+05 -1.51622E+15  5.25304 -99.00000   0.61147   0.84001   0.12405 -235.91830
2.34   1.53557  11.32994   8.42534  8.03627E-01  1.15622E+00  4.21295E+07  4.01862E+08 -4.66999E+16  1.83686E+06 -1.57983E+15  5.25304 -99.00000   0.08425   0.37782   0.50000 -235.91830
2.36   1.53873  11.33177   8.43394  7.63115E-01  1.47981E+00  2.92650E+08  3.92351E+08 -1.65883E+17  1.71267E+06 -2.23325E+15  5.25304 -99.00000   0.56920   0.86896   0.10000 -236.05646
2.38   1.56786  11.33358   8.52890  7.46921E-01  1.29281E+00  2.66758E+08  3.47219E+08 -1.08253E+17  1.44745E+06 -1.99247E+15  5.25304 -99.00000   0.57384   0.86612   0.10000 -236.12553
2.40   1.58864  11.33552   8.59975  7.46467E-01  7.84104E-01  1.62182E+08  1.88742E+08  8.37310E+16  7.51396E+05 -1.21064E+15  5.25304 -99.00000   0.64143   0.86604   0.10000 -236.19461
2.42   1.60178  11.33758   8.61792  7.97404E-01  6.38524E-01  2.43393E+07  4.88840E+07  1.44497E+17  1.85852E+05 -9.70413E+14  5.25304 -99.00000   0.39703   0.37297   0.50000 -236.26370
2.44   1.61716  11.33968   8.61461  7.82296E-01  9.50267E-01  1.82656E+08  2.16231E+08  2.05969E+16  7.85089E+05 -1.42891E+15  5.25304 -99.00000   0.66082   0.87217   0.10000 -236.33278
2.46   1.64216  11.34177   8.62107  8.15800E-01  1.57222E+00  2.93148E+08  3.83820E+08 -2.51028E+17  1.33085E+06 -2.39150E+15  5.25304 -99.00000   0.62308   0.87742   0.10000 -236.40186
2.48   1.67462  11.34385   8.63569  7.84306E-01  1.51777E+00  2.05477E+08  3.22956E+08 -2.44772E+17  1.06941E+06 -2.37591E+15  5.25304 -99.00000   0.49901   0.81203   0.14743 -236.47093
2.50   1.70149  11.34599   8.64350  7.92629E-01  1.17964E+00  4.73367E+07  7.73672E+08 -9.03426E+16  2.44657E+06 -1.87602E+15  5.25304 -99.00000   0.04850   0.36919   0.50000 -236.54001
2.52   1.72220  11.34815   8.64185  8.08355E-01  9.08553E-01  1.79038E+08  2.07952E+08  4.82356E+16  6.28006E+05 -1.44726E+15  5.25304 -99.00000   0.69596   0.87629   0.10000 -236.60909
2.54   1.73878  11.35030   8.64088  8.22638E-01  7.84363E-01  3.55920E+07  6.98872E+07  1.18169E+17  2.01557E+05 -1.23964E+15  5.25304 -99.00000   0.41895   0.48533   0.42338 -236.67816
2.56   1.75519  11.35236   8.64799  8.84260E-01  8.97729E-01  1.19820E+08  1.41377E+08  5.82033E+16  3.89386E+05 -1.40715E+15  5.25304 -99.00000   0.74943   0.84981   0.13281 -236.74724
2.58   1.77531  11.35431   8.65882  8.75942E-01  1.11599E+00  9.01535E+07  1.33022E+08 -6.91371E+16  3.49883E+05 -1.74971E+15  5.25304 -99.00000   0.59366   0.74705   0.22157 -236.81631
2.60   1.80112  11.35616   8.66293  8.95187E-01  1.52592E+00  5.41710E+07  1.13052E+09 -3.32689E+17  2.83973E+06 -2.42466E+15  5.25304 -99.00000   0.04289   0.44146   0.50000 -236.88539
2.62   1.83335  11.35795   8.65844  8.70624E-01  1.53544E+00  2.88240E+08  3.61461E+08 -3.64806E+17  8.67084E+05 -2.50949E+15  5.25304 -99.00000   0.69426   0.88514   0.10000 -236.95447
2.64   1.86012  11.35976   8.65569  8.66021E-01  1.12498E+00  4.31288E+07  1.72512E+08 -9.05655E+16  3.95202E+05 -1.86752E+15  5.25304 -99.00000   0.21651   0.42265   0.50000 -237.02354
2.66   1.87740  11.36162   8.65969  8.76176E-01  6.38831E-01  7.62374E+07  8.77593E+07  2.72341E+17  1.91997E+05 -1.05387E+15  5.25304 -99.00000   0.76114   0.81993   0.15777 -237.09262
2.68   1.88932  11.36359   8.66835  8.83533E-01  6.45190E-01  5.48651E+07  6.67562E+07  2.74989E+17  1.39474E+05 -1.04474E+15  5.25304 -99.00000   0.72615   0.75607   0.21552 -237.16170
2.70   1.90684  11.36564   8.67521  9.23196E-01  1.18921E+00  5.18210E+07  1.17358E+08 -1.52684E+17  2.34159E+05 -1.91470E+15  5.25304 -99.00000   0.40765   0.56648   0.40022 -237.23077
2.72   1.93456  11.36781   8.67655  8.93075E-01  1.43022E+00  5.24939E+07  5.07665E+08 -3.70046E+17  9.67336E+05 -2.34405E+15  5.25304 -99.00000   0.09235   0.44014   0.50000 -237.29987
2.74   1.96138  11.37016   8.67607  8.82049E-01  1.23101E+00  4.64706E+07  2.22482E+08 -2.11353E+17  4.04851E+05 -2.04947E+15  5.25304 -99.00000   0.18424   0.43314   0.50000 -237.36894
2.76   1.98267  11.37274   8.67606  8.75883E-01  8.96393E-01  3.41787E+07  8.22039E+07  9.95550E+16  1.42854E+05 -1.49683E+15  5.25304 -99.00000   0.36417   0.42915   0.50000 -237.43802
2.78   1.99843  11.37557   8.67856  8.83208E-01  7.17522E-01  3.18231E+07  5.20243E+07  2.81460E+17  8.63388E+04 -1.18650E+15  5.25304 -99.00000   0.54026   0.52203   0.42215 -237.50710
2.80   2.01278  11.37865   8.68598  9.28089E-01  7.41559E-01  4.72627E+07  6.19891E+07  2.66156E+17  9.82461E+04 -1.21038E+15  5.25304 -99.00000   0.70761   0.70268   0.27594 -237.57617
2.82   2.02897  11.38197   8.69746  9.30161E-01  8.98653E-01  4.58582E+07  7.09929E+07  1.08337E+17  1.07452E+05 -1.45398E+15  5.25304 -99.00000   0.60084   0.63354   0.34087 -237.64525
2.84   2.04989  11.38552   8.70282  9.33651E-01  1.24220E+00  4.31444E+07  1.50074E+08 -2.71681E+17  2.16922E+05 -2.01409E+15  5.25304 -99.00000   0.26841   0.46447   0.50000 -237.71432
2.86   2.07932  11.38930   8.69466  9.31452E-01  1.59682E+00  2.84060E+08  3.48134E+08 -7.16402E+17  4.80559E+05 -2.64588E+15  5.25304 -99.00000   0.76002   0.89264   0.10000 -237.78340
2.88   2.10926  11.39331   8.68225  9.03138E-01  1.36015E+00  2.55325E+08  3.06423E+08 -4.63176E+17  4.03944E+05 -2.30594E+15  5.25304 -98.53909   0.75253   0.88927   0.10000 -236.79118
2.90   2.13232  11.39752   8.67577  9.05951E-01  9.07545E-01  1.71035E+08  1.92299E+08  1.25388E+17  2.42090E+05 -1.54949E+15  5.25304 -99.00000   0.80577   0.88962   0.10000 -237.92155
2.92   2.14701  11.40196   8.67634  9.19374E-01  6.64433E-01  4.91582E+07  6.10594E+07  4.70745E+17  7.34095E+04 -1.12062E+15  5.25304 -99.00000   0.74018   0.73030   0.24795 -237.99063
2.94   2.16277  11.40674   8.67805  9.67861E-01  9.98037E-01  3.44457E+07  7.37138E+07  2.85571E+15  8.46348E+04 -1.66693E+15  5.25304 -99.00000   0.45227   0.48340   0.50000 -238.05971
2.96   2.18843  11.41197   8.67660  9.66000E-01  1.48625E+00  2.60344E+08  3.09665E+08 -7.50397E+17  3.39541E+05 -2.51493E+15  5.25304 -93.88623   0.81214   0.89648   0.10000 -226.35390
2.98   2.21809  11.41737   8.67631  9.47415E-01  1.42408E+00  2.60066E+08  3.09108E+08 -7.00713E+17  3.23676E+05 -2.46391E+15  5.25304 -76.11444   0.79710   0.89445   0.10000 -185.50192
3.00   2.24333  11.42242   8.68341  9.29964E-01  1.05632E+00  1.98913E+08  2.26589E+08 -9.86304E+16  2.26589E+05 -1.84982E+15  5.25304 -53.60178   0.81638   0.89247   0.10000 -133.73367
3.02   2.26121  11.42707   8.69788  9.34625E-01  8.07831E-01  1.36250E+08  1.51766E+08  3.50666E+17  1.44935E+05 -1.40777E+15  5.25303 -31.07137   0.83907   0.88172   0.11055  -81.92458
