       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.7000        0.3000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.45931  11.03917   8.82759  1.03254E+00  8.97837E-01  2.29142E+08  2.52364E+08  2.94172E+16  2.52364E+06 -2.58526E+15  2.79577 -99.00000   0.93753   0.89418   0.10927 -234.81306
2.02   1.47876  11.04045   8.83591  1.03198E+00  1.02706E+00  7.55753E+07  1.19058E+08 -8.14717E+15  1.13699E+06 -2.95360E+15  2.79577 -99.00000   0.65507   0.63303   0.37871 -234.88214
2.04   1.49973  11.04177   8.84017  1.01969E+00  1.05732E+00  5.97715E+07  1.21595E+08 -1.81149E+16  1.10896E+06 -3.04743E+15  2.79577 -99.00000   0.50124   0.50966   0.50000 -234.95122
2.06   1.52070  11.04312   8.84141  1.00812E+00  1.03390E+00  5.92501E+07  1.20587E+08 -1.12428E+16  1.05027E+06 -2.98658E+15  2.79577 -99.00000   0.49534   0.50403   0.50000 -235.02029
2.08   1.54095  11.04451   8.84047  1.00420E+00  9.90599E-01  5.70243E+07  1.12068E+08  3.26668E+15  9.32138E+05 -2.86320E+15  2.79577 -99.00000   0.51098   0.50209   0.50000 -235.08937
2.10   1.56032  11.04595   8.83806  1.01096E+00  9.47253E-01  2.70429E+08  2.98054E+08  1.91654E+16  2.36753E+06 -2.73393E+15  2.79577 -99.00000   0.91726   0.90108   0.10000 -235.15845
2.12   1.57927  11.04745   8.83511  1.02491E+00  9.63318E-01  9.54139E+07  1.28955E+08  1.39226E+16  9.78224E+05 -2.77355E+15  2.79577 -99.00000   0.75833   0.72327   0.28362 -235.22754
2.14   1.59923  11.04902   8.83244  1.02681E+00  1.03615E+00  5.81021E+07  1.14234E+08 -1.43660E+16  8.27552E+05 -2.98299E+15  2.79577 -99.00000   0.52226   0.51305   0.50000 -235.29662
2.16   1.62059  11.05066   8.83006  1.00740E+00  1.08265E+00  6.20728E+07  1.33031E+08 -3.44994E+16  9.20352E+05 -3.12661E+15  2.79577 -99.00000   0.47006   0.50367   0.50000 -235.36569
2.18   1.64176  11.05240   8.83120  9.87608E-01  1.02419E+00  6.00597E+07  1.26448E+08 -1.06018E+16  8.35436E+05 -2.96577E+15  2.79577 -99.00000   0.46909   0.49373   0.50000 -235.43477
