       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.0000        0.3000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.26617  11.01815   8.57665  8.00503E-01  5.09741E-01  2.48705E+07  3.54587E+07  5.70953E+16  3.54587E+05 -5.93641E+14  5.47396 -99.00000   0.56147   0.53107   0.37538 -234.58281
2.02   1.27515  11.01866   8.57906  8.33198E-01  1.16670E+00  4.84755E+07  1.67198E+08 -2.07532E+16  1.59673E+06 -1.38711E+15  5.47396 -99.00000   0.24157   0.49290   0.42251 -234.67491
2.04   1.29181  11.01914   8.58094  7.67055E-01  1.15084E+00  5.12134E+07  3.43898E+08 -2.04321E+16  3.13639E+06 -1.42174E+15  5.47396 -99.00000   0.11423   0.43274   0.43512 -234.76701
2.06   1.29181  11.01914   8.58094  7.67055E-01  1.15084E+00  5.12134E+07  3.43898E+08 -2.04321E+16  3.13639E+06 -1.42174E+15  5.47396 -99.00000   0.11423   0.43274   0.43512 -234.76701
2.08   1.35501  11.02003   8.58299  8.91057E-01  1.01697E+00  4.46708E+07  8.56585E+07 -2.31513E+15  7.12476E+05 -1.15430E+15  5.47396 -99.00000   0.46468   0.58074   0.37358 -234.83609
2.10   1.36619  11.02060   8.58515  8.01401E-01  9.43497E-01  4.44166E+07  1.03515E+08  8.28433E+15  8.22249E+05 -1.09882E+15  5.47396 -99.00000   0.34387   0.51507   0.38863 -234.92819
2.12   1.37738  11.02119   8.58732  7.61634E-01  9.85144E-01  4.58511E+07  1.55091E+08  2.34041E+15  1.17648E+06 -1.17729E+15  5.47396 -99.00000   0.22517   0.45545   0.41475 -235.02029
2.14   1.39065  11.02182   8.58933  7.22212E-01  1.06217E+00  4.91906E+07  5.01469E+08 -1.05744E+16  3.63282E+06 -1.30871E+15  5.47396 -99.00000   0.07084   0.38676   0.44289 -235.11240
2.16   1.39065  11.02182   8.58933  7.22212E-01  1.06217E+00  4.91906E+07  5.01469E+08 -1.05744E+16  3.63282E+06 -1.30871E+15  5.47396 -99.00000   0.07084   0.38676   0.44289 -235.11240
2.18   1.45457  11.02308   8.59096  8.86507E-01  1.03659E+00  4.04006E+07  9.13285E+07 -6.27962E+15  6.03401E+05 -1.17538E+15  5.47396 -99.00000   0.39216   0.52310   0.42277 -235.18149
2.20   1.46617  11.02388   8.59265  8.01136E-01  9.61839E-01  3.70912E+07  1.28430E+08  7.04348E+15  8.10340E+05 -1.12015E+15  5.47396 -99.00000   0.23137   0.40763   0.47457 -235.27359
2.22   1.47765  11.02479   8.59416  7.61639E-01  9.95162E-01  3.84439E+07  2.70273E+08  9.60164E+14  1.62856E+06 -1.19000E+15  5.47396 -99.00000   0.10834   0.34352   0.50000 -235.36569
2.24   1.47765  11.02479   8.59416  7.61639E-01  9.95162E-01  3.84439E+07  2.70273E+08  9.60164E+14  1.62856E+06 -1.19000E+15  5.47396 -99.00000   0.10834   0.34352   0.50000 -235.36569
2.26   1.54351  11.02686   8.59408  9.39241E-01  1.01910E+00  3.16217E+07  7.48638E+07 -3.84268E+15  4.11407E+05 -1.12650E+15  5.47396 -99.00000   0.39673   0.46766   0.50000 -235.43477
2.28   1.55521  11.02823   8.59465  8.89120E-01  1.04786E+00  3.44810E+07  1.02243E+08 -1.03554E+16  5.36578E+05 -1.18990E+15  5.47396 -99.00000   0.29985   0.43765   0.50000 -235.52687
2.30   1.56707  11.02978   8.59512  8.07770E-01  9.82131E-01  3.57259E+07  1.44406E+08  4.16084E+15  7.23743E+05 -1.14615E+15  5.47396 -99.00000   0.19984   0.38101   0.50000 -235.61897
2.32   1.57901  11.03149   8.59569  7.75096E-01  1.03081E+00  3.92519E+07  2.76223E+08 -7.72030E+15  1.32209E+06 -1.23648E+15  5.47396 -99.00000   0.11014   0.35492   0.50000 -235.71107
2.34   1.57901  11.03149   8.59569  7.75096E-01  1.03081E+00  3.92519E+07  2.76223E+08 -7.72030E+15  1.32209E+06 -1.23648E+15  5.47396 -99.00000   0.11014   0.35492   0.50000 -235.71107
2.36   1.64719  11.03509   8.59537  9.57158E-01  1.08300E+00  3.36424E+07  8.09226E+07 -2.11957E+16  3.53240E+05 -1.20732E+15  5.47396 -99.00000   0.39792   0.48362   0.49425 -235.78015
2.38   1.65975  11.03718   8.59685  9.07382E-01  1.08748E+00  4.27813E+07  9.44339E+07 -2.40796E+16  3.93666E+05 -1.24787E+15  5.47396 -99.00000   0.41107   0.54361   0.41412 -235.87225
2.40   1.67210  11.03936   8.59874  8.41020E-01  1.02115E+00  4.84579E+07  1.04805E+08 -6.27130E+15  4.17237E+05 -1.20555E+15  5.47396 -99.00000   0.38886   0.55720   0.37240 -235.96436
2.42   1.68452  11.04163   8.60097  8.22637E-01  1.07651E+00  5.52282E+07  1.26477E+08 -2.44465E+16  4.80853E+05 -1.30778E+15  5.47396 -99.00000   0.35922   0.56951   0.35413 -236.05646
2.44   1.69857  11.04396   8.60339  7.73208E-01  1.09713E+00  6.24845E+07  1.68272E+08 -3.35665E+16  6.10958E+05 -1.37666E+15  5.47396 -99.00000   0.28712   0.55694   0.34258 -236.14856
2.46   1.71211  11.04635   8.60608  6.91695E-01  1.00042E+00  6.53197E+07  2.20813E+08 -1.55123E+14  7.65639E+05 -1.29507E+15  5.47396 -99.00000   0.20461   0.51312   0.33677 -236.24068
2.48   1.72590  11.04879   8.60894  6.75263E-01  1.08343E+00  7.27844E+07  3.70601E+08 -3.36668E+16  1.22718E+06 -1.44777E+15  5.47396 -99.00000   0.13262   0.49914   0.33821 -236.33278
2.50   1.74158  11.05125   8.61179  6.32696E-01  1.09866E+00  7.94642E+07  1.17383E+09 -4.32259E+16  3.71198E+06 -1.52212E+15  5.47396 -99.00000   0.04283   0.46311   0.33969 -236.42488
