       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.3000        0.5000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.20980  11.24075   8.63989  8.15665E-01  1.48347E+00  2.94826E+08  3.79429E+08 -7.83735E+16  3.79429E+06 -2.40479E+15  4.69914 -99.00000   0.63379   0.87740   0.10000 -234.81306
2.02   1.23453  11.24117   8.71987  6.81122E-01  1.03577E+00  1.12296E+08  2.22574E+08 -6.13845E+15  2.12556E+06 -1.69742E+15  4.69914 -99.00000   0.34365   0.67418   0.22192 -234.88214
2.04   1.28301  11.24151   8.72269  9.55417E-01  1.33488E+00  4.56336E+07  1.69756E+08 -5.59618E+16  1.54820E+06 -2.03445E+15  4.69914 -99.00000   0.25683   0.47667   0.50000 -234.88214
2.06   1.28210  11.24205   8.72997  7.90330E-01  1.16212E+00  2.45211E+08  3.01261E+08 -3.10407E+16  2.62387E+06 -1.93797E+15  4.69914 -99.00000   0.64329   0.87347   0.10000 -235.02029
2.08   1.30281  11.24252   8.69344  7.82265E-01  9.43236E-01  2.01409E+08  2.38112E+08  1.13996E+16  1.98053E+06 -1.57555E+15  4.69914 -99.00000   0.66169   0.87217   0.10000 -235.08937
2.10   1.32036  11.24303   8.64242  8.11284E-01  8.00238E-01  1.63834E+08  1.86511E+08  4.17706E+16  1.48151E+06 -1.32916E+15  4.69914 -99.00000   0.71265   0.87674   0.10000 -235.15845
2.12   1.33546  11.24357   8.58346  7.81356E-01  7.61504E-01  1.37464E+08  1.60821E+08  5.16346E+16  1.21995E+06 -1.25064E+15  4.69914 -99.00000   0.66788   0.85098   0.11644 -235.22754
2.14   1.35336  11.24414   8.53290  7.91162E-01  1.11000E+00  8.99565E+07  1.64167E+08 -2.48167E+16  1.18928E+06 -1.81420E+15  4.69914 -99.00000   0.43352   0.67780   0.25491 -235.29662
2.16   1.39788  11.24464   8.52188  8.73343E-01  1.49655E+00  5.89741E+07  1.00893E+09 -1.13198E+17  6.98009E+06 -2.36030E+15  4.69914 -99.00000   0.05105   0.45054   0.47987 -235.31964
2.18   1.41793  11.24529   8.51991  8.31015E-01  1.29740E+00  5.27745E+07  8.70112E+08 -7.43479E+16  5.74877E+06 -2.14290E+15  4.69914 -99.00000   0.05040   0.39833   0.50000 -235.41174
2.20   1.43092  11.24604   8.55597  7.96163E-01  7.67692E-01  1.64100E+08  1.86713E+08  6.26598E+16  1.17808E+06 -1.30650E+15  4.69914 -99.00000   0.69974   0.87440   0.10000 -235.50385
2.22   1.44175  11.24690   8.64470  7.76286E-01  4.21254E-01  9.04220E+07  9.72179E+07  1.60044E+17  5.85796E+05 -7.01933E+14  4.69914 -99.00000   0.72202   0.87118   0.10000 -235.57292
2.24   1.45170  11.24790   8.74129  7.89181E-01  6.69247E-01  8.17506E+07  9.98774E+07  9.35847E+16  5.74734E+05 -1.08965E+15  4.69914 -99.00000   0.64595   0.78599   0.16890 -235.64200
2.26   1.47136  11.24903   8.77212  8.17064E-01  1.24685E+00  4.96539E+07  7.50514E+08 -7.30805E+16  4.12438E+06 -2.02852E+15  4.69914 -99.00000   0.05406   0.38805   0.50000 -235.71107
2.28   1.49669  11.25031   8.72811  7.87054E-01  1.23786E+00  2.59031E+08  3.23721E+08 -7.46459E+16  1.69891E+06 -2.03872E+15  4.69914 -99.00000   0.62978   0.87294   0.10000 -235.78015
2.30   1.52067  11.25178   8.64937  8.18946E-01  1.12579E+00  2.28492E+08  2.74584E+08 -4.17181E+16  1.37618E+06 -1.87123E+15  4.69914 -99.00000   0.68148   0.87789   0.10000 -235.84923
2.32   1.54122  11.25342   8.56543  7.90662E-01  9.65655E-01  1.49027E+08  1.88804E+08  1.19422E+16  9.03675E+05 -1.60708E+15  4.69914 -99.00000   0.62409   0.82750   0.13639 -235.91830
2.34   1.56177  11.25521   8.52229  8.19335E-01  1.15273E+00  4.68888E+07  3.31532E+08 -5.56802E+16  1.51539E+06 -1.92088E+15  4.69914 -99.00000   0.11588   0.38975   0.50000 -235.98738
2.36   1.58767  11.25710   8.54665  8.20173E-01  1.35415E+00  2.78887E+08  3.49179E+08 -1.37043E+17  1.52422E+06 -2.28736E+15  4.69914 -99.00000   0.65507   0.87807   0.10000 -236.05646
2.38   1.61333  11.25911   8.60661  8.25956E-01  1.20078E+00  2.48792E+08  3.01938E+08 -8.24235E+16  1.25869E+06 -2.05491E+15  4.69914 -99.00000   0.68058   0.87893   0.10000 -236.12553
2.40   1.63459  11.26125   8.65130  8.39408E-01  8.84541E-01  1.80856E+08  2.06820E+08  4.97754E+16  8.23364E+05 -1.51812E+15  4.69914 -99.00000   0.73403   0.88087   0.10000 -236.19461
2.42   1.64959  11.26351   8.66273  8.30714E-01  7.01142E-01  2.86399E+07  5.82123E+07  1.33368E+17  2.21317E+05 -1.18958E+15  4.69914 -99.00000   0.40870   0.39811   0.50000 -236.26370
2.44   1.66603  11.26583   8.66182  8.70734E-01  1.01600E+00  3.92707E+07  1.19012E+08 -7.41578E+15  4.32108E+05 -1.70972E+15  4.69914 -99.00000   0.28732   0.42577   0.50000 -236.33278
2.46   1.69105  11.26816   8.66731  8.67906E-01  1.40142E+00  2.74884E+08  3.37715E+08 -1.97086E+17  1.17098E+06 -2.38573E+15  4.69914 -99.00000   0.70643   0.88478   0.10000 -236.40186
2.48   1.71921  11.27053   8.67759  8.76132E-01  1.39166E+00  1.60520E+08  2.33044E+08 -2.05176E+17  7.71683E+05 -2.41406E+15  4.69914 -99.00000   0.60348   0.80408   0.17165 -236.47093
2.50   1.74506  11.27295   8.68312  8.73857E-01  1.14599E+00  4.61139E+07  1.84720E+08 -8.11661E+16  5.84135E+05 -2.01485E+15  4.69914 -99.00000   0.21815   0.42782   0.50000 -236.54001
2.52   1.76535  11.27541   8.68275  8.85961E-01  9.32676E-01  3.70419E+07  9.12623E+07  3.92210E+16  2.75608E+05 -1.64088E+15  4.69914 -99.00000   0.35960   0.43564   0.50000 -236.60909
2.54   1.78373  11.27785   8.68306  9.31686E-01  9.17667E-01  5.11181E+07  7.95041E+07  5.00381E+16  2.29292E+05 -1.60847E+15  4.69914 -99.00000   0.59904   0.63751   0.33773 -236.67816
2.56   1.80189  11.28022   8.68872  9.37536E-01  9.07410E-01  1.12423E+08  1.33064E+08  5.86755E+16  3.66489E+05 -1.58379E+15  4.69914 -99.00000   0.79210   0.83972   0.15026 -236.74724
2.58   1.82168  11.28250   8.69655  9.71951E-01  1.11528E+00  8.25349E+07  1.15649E+08 -7.64613E+16  3.04189E+05 -1.94563E+15  4.69914 -99.00000   0.69365   0.75046   0.24254 -236.81631
2.60   1.84706  11.28468   8.69968  9.71932E-01  1.39845E+00  5.08273E+07  1.95634E+08 -2.80174E+17  4.91411E+05 -2.47004E+15  4.69914 -99.00000   0.25252   0.48556   0.50000 -236.88539
2.62   1.87555  11.28683   8.69749  9.54643E-01  1.39838E+00  2.63833E+08  3.11653E+08 -2.99117E+17  7.47605E+05 -2.51866E+15  4.69914 -99.00000   0.80816   0.89525   0.10000 -236.95447
2.64   1.90097  11.28899   8.69639  9.38105E-01  1.09370E+00  4.25250E+07  1.12319E+08 -7.45956E+16  2.57309E+05 -1.99465E+15  4.69914 -99.00000   0.35517   0.46701   0.50000 -237.02354
2.66   1.91856  11.29122   8.69976  9.41682E-01  7.11630E-01  7.60201E+07  8.88797E+07  2.39060E+17  1.94448E+05 -1.29066E+15  4.69914 -99.00000   0.80543   0.80854   0.18029 -237.09262
2.68   1.93278  11.29355   8.70594  9.87113E-01  7.84155E-01  5.92026E+07  7.33851E+07  1.84895E+17  1.53323E+05 -1.40341E+15  4.69914 -99.00000   0.79634   0.75672   0.24015 -237.16170
2.70   1.95181  11.29600   8.71072  9.89110E-01  1.13533E+00  4.99000E+07  9.53525E+07 -1.21119E+17  1.90253E+05 -2.02739E+15  4.69914 -99.00000   0.51762   0.58471   0.41076 -237.23077
2.72   1.97688  11.29858   8.71227  9.75850E-01  1.31303E+00  4.86185E+07  1.56538E+08 -2.96805E+17  2.98278E+05 -2.37222E+15  4.69914 -99.00000   0.30308   0.48763   0.50000 -237.29987
2.74   2.00217  11.30135   8.71253  9.50085E-01  1.16386E+00  4.48059E+07  1.26101E+08 -1.64678E+17  2.29465E+05 -2.12847E+15  4.69914 -99.00000   0.33758   0.47373   0.50000 -237.36894
2.76   2.02266  11.30435   8.71301  9.41424E-01  9.08230E-01  3.53265E+07  7.24474E+07  9.66857E+16  1.25899E+05 -1.66286E+15  4.69914 -99.00000   0.45905   0.46889   0.50000 -237.43802
2.78   2.03988  11.30762   8.71498  9.74979E-01  8.33971E-01  3.63865E+07  5.82367E+07  1.81998E+17  9.66489E+04 -1.51717E+15  4.69914 -99.00000   0.60917   0.56137   0.42766 -237.50710
2.80   2.05624  11.31114   8.72021  9.86101E-01  8.02856E-01  5.01832E+07  6.61747E+07  2.24403E+17  1.04880E+05 -1.44838E+15  4.69914 -99.00000   0.74780   0.70319   0.29269 -237.57617
2.82   2.07302  11.31491   8.72823  1.00960E+00  9.21398E-01  4.53726E+07  6.72772E+07  9.29929E+16  1.01828E+05 -1.64992E+15  4.69914 -99.00000   0.68089   0.64324   0.36018 -237.64525
2.84   2.09437  11.31892   8.73197  1.02293E+00  1.21731E+00  4.27523E+07  1.02199E+08 -2.70057E+17  1.47722E+05 -2.18663E+15  4.69914 -99.00000   0.42792   0.51121   0.50000 -237.71432
2.86   2.12103  11.32319   8.72728  9.89772E-01  1.41062E+00  2.59956E+08  3.03684E+08 -5.42576E+17  4.19200E+05 -2.57297E+15  4.69914 -99.00000   0.84725   0.89897   0.10000 -237.78340
2.88   2.14855  11.32770   8.71977  9.70768E-01  1.28115E+00  2.44924E+08  2.83460E+08 -3.95814E+17  3.73672E+05 -2.37764E+15  4.69914 -98.52431   0.83879   0.89699   0.10000 -236.75717
2.90   2.17060  11.33242   8.71623  9.53453E-01  9.09519E-01  3.55749E+07  7.11848E+07  1.34017E+17  8.96164E+04 -1.69595E+15  4.69914 -99.00000   0.47649   0.47559   0.50000 -237.92155
2.92   2.18667  11.33737   8.71734  9.95716E-01  7.81903E-01  5.67209E+07  7.10569E+07  3.35208E+17  8.54292E+04 -1.44484E+15  4.69914 -99.00000   0.79483   0.74308   0.25582 -237.99063
2.94   2.20437  11.34266   8.71900  1.02295E+00  1.02636E+00  4.28963E+07  7.41741E+07 -4.21925E+16  8.51633E+04 -1.88653E+15  4.69914 -99.00000   0.59159   0.57972   0.42992 -238.05971
