       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.9000        0.0000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.59329   9.99948   8.94589  1.00043E+00  9.72043E-01  8.09424E+07  1.49067E+08  1.09593E+16  1.49067E+06 -3.81041E+15  2.10526 -99.00000   0.54323   0.52965   0.47055 -234.81306
2.02   1.61311  10.01769   8.94762  1.00373E+00  1.00399E+00  1.41247E+08  1.95233E+08 -1.63657E+15  1.86446E+06 -3.93404E+15  2.10526 -99.00000   0.72618   0.72355   0.27749 -234.88214
2.04   1.63327  10.03564   8.94987  1.00159E+00  1.00887E+00  1.37108E+08  1.93002E+08 -3.81154E+15  1.76020E+06 -3.95459E+15  2.10526 -99.00000   0.71152   0.71248   0.28797 -234.95122
2.06   1.65340  10.05337   8.95193  9.99211E-01  1.00316E+00  1.15857E+08  1.75910E+08 -1.42245E+15  1.53211E+06 -3.93338E+15  2.10526 -99.00000   0.65810   0.65996   0.33977 -235.02029
2.08   1.67339  10.07094   8.95377  9.98568E-01  9.96024E-01  1.14172E+08  1.73556E+08  1.87423E+15  1.44358E+06 -3.90530E+15  2.10526 -99.00000   0.65689   0.65696   0.34255 -235.08937
2.10   1.69326  10.08841   8.95572  1.00015E+00  9.92170E-01  1.31442E+08  1.86028E+08  3.86398E+15  1.47767E+06 -3.88907E+15  2.10526 -99.00000   0.70668   0.70421   0.29583 -235.15845
2.12   1.71313  10.10585   8.95782  1.00218E+00  9.96036E-01  1.27106E+08  1.82587E+08  2.04781E+15  1.38507E+06 -3.90305E+15  2.10526 -99.00000   0.69765   0.69426   0.30640 -235.22754
2.14   1.73311  10.12333   8.95959  1.00149E+00  1.00205E+00  1.11486E+08  1.71870E+08 -1.10639E+15  1.24509E+06 -3.92645E+15  2.10526 -99.00000   0.64963   0.64886   0.35167 -235.29662
2.16   1.75319  10.14092   8.96114  9.99034E-01  1.00445E+00  1.41399E+08  1.96511E+08 -2.52252E+15  1.35953E+06 -3.93658E+15  2.10526 -99.00000   0.71885   0.72106   0.27867 -235.36569
2.18   1.77325  10.15867   8.96303  9.98097E-01  1.00145E+00  1.73737E+08  2.24920E+08 -8.61071E+14  1.48603E+06 -3.92536E+15  2.10526 -99.00000   0.77097   0.77320   0.22637 -235.43477
2.20   1.79326  10.17658   8.96500  9.99725E-01  1.00023E+00  1.29741E+08  1.86012E+08 -1.42593E+14  1.17366E+06 -3.92068E+15  2.10526 -99.00000   0.69730   0.69764   0.30228 -235.50385
2.22   1.81328  10.19465   8.96669  1.00127E+00  1.00182E+00  1.13622E+08  1.73453E+08 -1.18181E+15  1.04516E+06 -3.92707E+15  2.10526 -99.00000   0.65589   0.65525   0.34519 -235.57292
2.24   1.83333  10.21292   8.96855  1.00088E+00  1.00270E+00  1.32161E+08  1.88116E+08 -1.83685E+15  1.08249E+06 -3.93094E+15  2.10526 -99.00000   0.70317   0.70309   0.29717 -235.64200
2.26   1.85338  10.23139   8.97077  1.00008E+00  1.00242E+00  1.27686E+08  1.84648E+08 -1.72907E+15  1.01472E+06 -3.93037E+15  2.10526 -99.00000   0.69157   0.69223   0.30779 -235.71107
2.28   1.87340  10.25006   8.97272  9.99663E-01  9.99101E-01  1.02857E+08  1.66143E+08  6.71412E+14  8.71930E+05 -3.91751E+15  2.10526 -99.00000   0.61888   0.61887   0.38100 -235.78015
2.30   1.89334  10.26895   8.97428  1.00020E+00  9.95444E-01  1.10506E+08  1.70361E+08  3.56354E+15  8.53826E+05 -3.90267E+15  2.10526 -99.00000   0.64879   0.64698   0.35309 -235.84923
