       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.0000        0.5000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.27958  11.23501   8.46149  9.22332E-01  1.23639E+00  3.92425E+07  8.16478E+07 -1.49009E+16  7.79730E+05 -7.44282E+14  7.25664 -99.00000   0.44330   0.61256   0.35735 -234.32953
2.02   1.29572  11.23524   8.46398  7.93209E-01  1.10562E+00  4.04369E+07  1.13167E+08 -7.23561E+15  1.03209E+06 -6.90761E+14  7.25664 -99.00000   0.28343   0.53892   0.36573 -234.42163
2.04   1.30804  11.23550   8.46673  6.44199E-01  8.99356E-01  3.96428E+07  2.13259E+08  7.42731E+15  1.85740E+06 -5.78064E+14  7.25664 -99.00000   0.11975   0.41686   0.37566 -234.51373
2.06   1.32042  11.23576   8.46954  6.21148E-01  9.94649E-01  4.42893E+07  1.54259E+11  4.25428E+14  1.28307E+09 -6.57794E+14  7.25664 -99.00000   0.00018   0.37569   0.38779 -234.60583
2.08   1.32042  11.23576   8.46954  6.21148E-01  9.94649E-01  4.42893E+07  1.54259E+11  4.25428E+14  1.28307E+09 -6.57794E+14  7.25664 -99.00000   0.00018   0.37569   0.38779 -234.60583
2.10   1.32042  11.23576   8.46954  6.21148E-01  9.94649E-01  4.42893E+07  1.54259E+11  4.25428E+14  1.28307E+09 -6.57794E+14  7.25664 -99.00000   0.00018   0.37569   0.38779 -234.60583
2.12   1.32042  11.23576   8.46954  6.21148E-01  9.94649E-01  4.42893E+07  1.54259E+11  4.25428E+14  1.28307E+09 -6.57794E+14  7.25664 -99.00000   0.00018   0.37569   0.38779 -234.60583
2.14   1.40730  11.23684   8.47758  6.52375E-01  9.48803E-01  3.67994E+07  5.95979E+08  4.74834E+15  4.12316E+06 -6.08804E+14  7.25664 -99.00000   0.04028   0.35488   0.42086 -234.85912
2.16   1.40730  11.23684   8.47758  6.52375E-01  9.48803E-01  3.67994E+07  5.95979E+08  4.74834E+15  4.12316E+06 -6.08804E+14  7.25664 -99.00000   0.04028   0.35488   0.42086 -234.85912
2.18   1.40730  11.23684   8.47758  6.52375E-01  9.48803E-01  3.67994E+07  5.95979E+08  4.74834E+15  4.12316E+06 -6.08804E+14  7.25664 -99.00000   0.04028   0.35488   0.42086 -234.85912
2.20   1.40730  11.23684   8.47758  6.52375E-01  9.48803E-01  3.67994E+07  5.95979E+08  4.74834E+15  4.12316E+06 -6.08804E+14  7.25664 -99.00000   0.04028   0.35488   0.42086 -234.85912
2.22   1.49481  11.23870   8.48128  7.50129E-01  1.06197E+00  2.99786E+07  5.31957E+08 -6.71360E+15  3.06109E+06 -6.62090E+14  7.25664 -99.00000   0.04227   0.33345   0.50000 -235.11240
2.24   1.49481  11.23870   8.48128  7.50129E-01  1.06197E+00  2.99786E+07  5.31957E+08 -6.71360E+15  3.06109E+06 -6.62090E+14  7.25664 -99.00000   0.04227   0.33345   0.50000 -235.11240
2.26   1.49481  11.23870   8.48128  7.50129E-01  1.06197E+00  2.99786E+07  5.31957E+08 -6.71360E+15  3.06109E+06 -6.62090E+14  7.25664 -99.00000   0.04227   0.33345   0.50000 -235.11240
2.28   1.49481  11.23870   8.48128  7.50129E-01  1.06197E+00  2.99786E+07  5.31957E+08 -6.71360E+15  3.06109E+06 -6.62090E+14  7.25664 -99.00000   0.04227   0.33345   0.50000 -235.11240
2.30   1.58497  11.24266   8.47702  8.29127E-01  1.10203E+00  2.81561E+07  1.41868E+08 -1.29926E+16  6.79021E+05 -6.71682E+14  7.25664 -99.00000   0.16455   0.39696   0.50000 -235.36569
2.32   1.59969  11.24404   8.47673  7.82477E-01  1.14243E+00  3.12665E+07  4.66271E+08 -1.96466E+16  2.13127E+06 -7.20313E+14  7.25664 -99.00000   0.05247   0.36100   0.50000 -235.45779
2.34   1.59969  11.24404   8.47673  7.82477E-01  1.14243E+00  3.12665E+07  4.66271E+08 -1.96466E+16  2.13127E+06 -7.20313E+14  7.25664 -99.00000   0.05247   0.36100   0.50000 -235.45779
2.36   1.64549  11.24877   8.48094  6.59981E-01  1.13378E+00  5.15933E+07  1.37271E+09 -2.35444E+16  5.46484E+06 -7.94366E+14  7.25664 -99.00000   0.02481   0.43977   0.36974 -235.73410
2.38   1.64549  11.24877   8.48094  6.59981E-01  1.13378E+00  5.15933E+07  1.37271E+09 -2.35444E+16  5.46484E+06 -7.94366E+14  7.25664 -99.00000   0.02481   0.43977   0.36974 -235.73410
2.40   1.66064  11.25049   8.48395  6.05961E-01  1.04752E+00  5.92769E+07  9.09671E+08 -9.06709E+15  3.45847E+06 -7.59969E+14  7.25664 -99.00000   0.03949   0.45922   0.32769 -235.82620
2.42   1.67656  11.25226   8.48749  6.09257E-01  1.16093E+00  7.11878E+07  1.53451E+09 -3.33587E+16  5.57148E+06 -8.73715E+14  7.25664 -99.00000   0.02826   0.49955   0.30490 -235.91830
2.44   1.67656  11.25226   8.48749  6.09257E-01  1.16093E+00  7.11878E+07  1.53451E+09 -3.33587E+16  5.57148E+06 -8.73715E+14  7.25664 -99.00000   0.02826   0.49955   0.30490 -235.91830
2.46   1.67656  11.25226   8.48749  6.09257E-01  1.16093E+00  7.11878E+07  1.53451E+09 -3.33587E+16  5.57148E+06 -8.73715E+14  7.25664 -99.00000   0.02826   0.49955   0.30490 -235.91830
2.48   1.67656  11.25226   8.48749  6.09257E-01  1.16093E+00  7.11878E+07  1.53451E+09 -3.33587E+16  5.57148E+06 -8.73715E+14  7.25664 -99.00000   0.02826   0.49955   0.30490 -235.91830
2.50   1.77387  11.25934   8.50260  7.33105E-01  1.15678E+00  8.21617E+07  1.57658E+08 -3.88300E+16  4.76119E+05 -8.65218E+14  7.25664 -99.00000   0.38205   0.69652   0.22248 -236.17159
