       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.6000        0.3000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.42633  11.03624   8.80372  1.04410E+00  8.99993E-01  2.30054E+08  2.50755E+08  2.66909E+16  2.50755E+06 -2.40200E+15  3.00586 -99.00000   0.95791   0.90422   0.10000 -234.81306
2.02   1.44595  11.03742   8.81602  1.03815E+00  1.04076E+00  7.50448E+07  1.14396E+08 -1.13813E+16  1.09248E+06 -2.77521E+15  3.00586 -99.00000   0.68103   0.65687   0.35622 -234.88214
2.04   1.46727  11.03862   8.82120  1.02516E+00  1.07666E+00  5.61808E+07  1.15180E+08 -2.24814E+16  1.05045E+06 -2.87970E+15  3.00586 -99.00000   0.50004   0.51227   0.50000 -234.95122
2.06   1.48855  11.03985   8.82152  1.01068E+00  1.04408E+00  5.54248E+07  1.13359E+08 -1.35780E+16  9.87314E+05 -2.80084E+15  3.00586 -99.00000   0.49415   0.50528   0.50000 -235.02029
2.08   1.50888  11.04112   8.81859  1.00599E+00  9.87586E-01  2.63550E+08  2.92051E+08  4.00690E+15  2.42917E+06 -2.65128E+15  3.00586 -99.00000   0.90782   0.90060   0.10000 -235.08937
2.10   1.52805  11.04243   8.81339  1.01424E+00  9.29618E-01  2.45591E+08  2.69990E+08  2.37417E+16  2.14461E+06 -2.49087E+15  3.00586 -99.00000   0.92258   0.90140   0.10000 -235.15845
2.12   1.54659  11.04381   8.80704  1.03067E+00  9.46023E-01  1.08519E+08  1.35844E+08  1.90019E+16  1.03049E+06 -2.52633E+15  3.00586 -99.00000   0.82335   0.78085   0.22587 -235.22754
2.14   1.56646  11.04524   8.80131  1.03467E+00  1.04800E+00  6.02190E+07  1.07455E+08 -1.76907E+16  7.78446E+05 -2.79785E+15  3.00586 -99.00000   0.57984   0.56600   0.44904 -235.29662
2.16   1.58839  11.04675   8.79701  1.01059E+00  1.12052E+00  5.94649E+07  1.31728E+08 -4.67141E+16  9.11335E+05 -3.00474E+15  3.00586 -99.00000   0.45620   0.50524   0.50000 -235.36569
2.18   1.61017  11.04834   8.79803  9.84768E-01  1.04248E+00  5.70076E+07  1.23257E+08 -1.73142E+16  8.14354E+05 -2.80697E+15  3.00586 -99.00000   0.45546   0.49227   0.50000 -235.43477
2.20   1.62984  11.05006   8.80827  9.85527E-01  9.23973E-01  2.52249E+08  2.78768E+08  3.24194E+16  1.75891E+06 -2.48598E+15  3.00586 -99.00000   0.89177   0.89853   0.10000 -235.50385
2.22   1.64778  11.05193   8.82520  1.01370E+00  8.96700E-01  2.36873E+08  2.59520E+08  4.59072E+16  1.56376E+06 -2.40119E+15  3.00586 -99.00000   0.92524   0.90135   0.10000 -235.57292
2.24   1.66643  11.05397   8.83815  1.04050E+00  9.78185E-01  7.19139E+07  1.05030E+08  1.01201E+16  6.04386E+05 -2.61126E+15  3.00586 -99.00000   0.71243   0.66461   0.34898 -235.64200
2.26   1.68693  11.05620   8.84246  1.03952E+00  1.05803E+00  5.44036E+07  1.06581E+08 -2.82236E+16  5.85704E+05 -2.82769E+15  3.00586 -99.00000   0.53062   0.51901   0.50000 -235.71107
2.28   1.70806  11.05865   8.83926  1.02423E+00  1.04459E+00  2.73282E+08  3.03504E+08 -2.27679E+16  1.59281E+06 -2.79902E+15  3.00586 -99.00000   0.92224   0.90237   0.10000 -235.78015
2.30   1.72853  11.06131   8.82936  1.01708E+00  1.00123E+00  2.64064E+08  2.92361E+08 -6.59242E+14  1.46528E+06 -2.68574E+15  3.00586 -99.00000   0.91864   0.90168   0.10000 -235.84923
2.32   1.74843  11.06419   8.81624  1.01967E+00  1.00291E+00  1.07068E+08  1.40443E+08 -1.63153E+15  6.72203E+05 -2.68966E+15  3.00586 -99.00000   0.77736   0.75839   0.24636 -235.91830
2.34   1.76901  11.06726   8.81155  1.01972E+00  1.05844E+00  5.57468E+07  1.13525E+08 -3.43337E+16  5.18910E+05 -2.84231E+15  3.00586 -99.00000   0.50074   0.50967   0.50000 -235.98738
2.36   1.79071  11.07051   8.81911  1.00635E+00  1.09783E+00  2.94100E+08  3.29858E+08 -6.04198E+16  1.43988E+06 -2.95967E+15  3.00586 -99.00000   0.89726   0.90063   0.10000 -236.05646
2.38   1.81226  11.07395   8.83011  9.93578E-01  1.04797E+00  2.85368E+08  3.19260E+08 -3.11360E+16  1.33090E+06 -2.83536E+15  3.00586 -99.00000   0.88810   0.89935   0.10000 -236.12553
2.40   1.83247  11.07756   8.83673  9.97415E-01  9.72904E-01  2.25107E+08  2.54275E+08  1.84239E+16  1.01229E+06 -2.63354E+15  3.00586 -99.00000   0.88300   0.88240   0.11729 -236.19461
2.42   1.85168  11.08134   8.83923  1.01686E+00  9.68295E-01  8.66846E+07  1.20054E+08  2.25325E+16  4.56433E+05 -2.61629E+15  3.00586 -99.00000   0.73422   0.70811   0.29681 -236.26370
2.44   1.87172  11.08527   8.84149  1.02992E+00  1.04204E+00  1.46516E+08  1.79402E+08 -3.12865E+16  6.51370E+05 -2.81583E+15  3.00586 -99.00000   0.84113   0.81882   0.18660 -236.33278
2.46   1.89330  11.08935   8.84503  1.01945E+00  1.10293E+00  1.60872E+08  1.99485E+08 -8.05096E+16  6.91687E+05 -2.99124E+15  3.00586 -99.00000   0.82213   0.82109   0.18239 -236.40186
2.48   1.91527  11.09359   8.84866  1.00177E+00  1.08645E+00  1.07529E+08  1.53061E+08 -7.11271E+16  5.06833E+05 -2.95992E+15  3.00586 -99.00000   0.70377   0.72571   0.27478 -236.47093
2.50   1.93667  11.09795   8.85122  9.95168E-01  1.05468E+00  7.47610E+07  1.27277E+08 -4.72568E+16  4.02487E+05 -2.88263E+15  3.00586 -99.00000   0.58455   0.61067   0.38745 -236.54001
2.52   1.95758  11.10241   8.85301  1.00144E+00  1.03934E+00  8.22797E+07  1.28170E+08 -3.56791E+16  3.87066E+05 -2.84668E+15  3.00586 -99.00000   0.64288   0.65502   0.34548 -236.60909
2.54   1.97828  11.10693   8.85538  1.01413E+00  1.02973E+00  1.22077E+08  1.58226E+08 -2.82844E+16  4.56330E+05 -2.82492E+15  3.00586 -99.00000   0.78243   0.77500   0.22818 -236.67816
2.56   1.99872  11.11145   8.85871  1.02760E+00  1.01959E+00  1.25807E+08  1.59072E+08 -1.95277E+16  4.38120E+05 -2.79993E+15  3.00586 -99.00000   0.81272   0.78924   0.21658 -236.74724
2.58   2.01944  11.11595   8.86194  1.03552E+00  1.05830E+00  9.38879E+07  1.33269E+08 -6.09636E+16  3.50534E+05 -2.91101E+15  3.00586 -99.00000   0.72952   0.71086   0.29942 -236.81631
2.60   2.04115  11.12045   8.86407  1.02700E+00  1.11094E+00  7.19121E+07  1.27852E+08 -1.21960E+17  3.21151E+05 -3.06786E+15  3.00586 -99.00000   0.57765   0.59552   0.41540 -236.88539
