       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.5000        0.3000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.39060  11.03331   8.77678  1.05268E+00  9.13749E-01  2.13368E+08  2.32543E+08  2.12012E+16  2.32543E+06 -2.24608E+15  3.25010 -99.00000   0.96588   0.90500   0.10000 -234.81306
2.02   1.41066  11.03437   8.79423  1.04449E+00  1.06242E+00  7.60335E+07  1.11860E+08 -1.60681E+16  1.06825E+06 -2.61188E+15  3.25010 -99.00000   0.70997   0.68513   0.32888 -234.88214
2.04   1.43230  11.03545   8.80069  1.02425E+00  1.09020E+00  5.25336E+07  1.09354E+08 -2.44068E+16  9.97316E+05 -2.69036E+15  3.25010 -99.00000   0.49205   0.51184   0.50000 -234.95122
2.06   1.45388  11.03656   8.79984  1.01263E+00  1.05854E+00  5.17813E+07  1.07020E+08 -1.66473E+16  9.32107E+05 -2.62175E+15  3.25010 -99.00000   0.48995   0.50623   0.50000 -235.02029
2.08   1.47435  11.03770   8.79432  1.00479E+00  9.83930E-01  2.42791E+08  2.69008E+08  4.79021E+15  2.23751E+06 -2.43955E+15  3.25010 -99.00000   0.90687   0.90048   0.10000 -235.08937
2.10   1.49324  11.03890   8.78551  1.01417E+00  9.07279E-01  2.21241E+08  2.42645E+08  2.88679E+16  1.92740E+06 -2.24376E+15  3.25010 -99.00000   0.92471   0.90140   0.10000 -235.15845
2.12   1.51133  11.04014   8.77478  1.03580E+00  9.28203E-01  1.14950E+08  1.37840E+08  2.33043E+16  1.04562E+06 -2.28544E+15  3.25010 -99.00000   0.86380   0.81469   0.19195 -235.22754
2.14   1.53108  11.04145   8.76515  1.03837E+00  1.05739E+00  6.36614E+07  1.03688E+08 -1.94949E+16  7.51150E+05 -2.60204E+15  3.25010 -99.00000   0.63753   0.62092   0.39363 -235.29662
2.16   1.55362  11.04281   8.75856  1.01268E+00  1.16836E+00  5.71164E+07  1.32720E+08 -6.02385E+16  9.18195E+05 -2.89203E+15  3.25010 -99.00000   0.43581   0.50626   0.50000 -235.36569
2.18   1.57622  11.04426   8.75963  9.78901E-01  1.06718E+00  5.42935E+07  1.22514E+08 -2.53190E+16  8.09442E+05 -2.65740E+15  3.25010 -99.00000   0.43381   0.48922   0.50000 -235.43477
2.20   1.59591  11.04583   8.77294  9.78018E-01  8.99907E-01  2.28959E+08  2.52737E+08  3.94738E+16  1.59466E+06 -2.23926E+15  3.25010 -99.00000   0.88600   0.89775   0.10000 -235.50385
2.22   1.61305  11.04754   8.79637  1.01370E+00  8.49193E-01  2.07085E+08  2.25741E+08  6.18692E+16  1.36022E+06 -2.09922E+15  3.25010 -99.00000   0.92993   0.90135   0.10000 -235.57292
