       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.5000        0.5000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.30206  11.24419   8.71080  1.14645E+00  8.60536E-01  1.50479E+08  1.61022E+08  2.79592E+16  1.61022E+06 -1.72516E+15  3.80510 -99.00000   1.07139   0.91277   0.10000 -234.81306
2.02   1.32319  11.24477   8.76232  1.11913E+00  1.19532E+00  8.10727E+07  1.08491E+08 -4.11088E+16  1.03608E+06 -2.40256E+15  3.80510 -99.00000   0.83630   0.76339   0.26480 -234.88214
2.04   1.34797  11.24535   8.77666  1.07297E+00  1.24679E+00  4.72285E+07  1.03003E+08 -5.49910E+16  9.39400E+05 -2.53374E+15  3.80510 -99.00000   0.49197   0.53400   0.50000 -234.95122
2.06   1.37207  11.24595   8.76851  1.03782E+00  1.14733E+00  2.26797E+08  2.53836E+08 -3.47028E+16  2.21082E+06 -2.35375E+15  3.80510 -99.00000   0.92727   0.90364   0.10000 -235.02029
2.08   1.39343  11.24658   8.74755  1.02575E+00  9.80887E-01  1.96791E+08  2.17023E+08  4.72897E+15  1.80512E+06 -2.01858E+15  3.80510 -99.00000   0.93013   0.90251   0.10000 -235.08937
2.10   1.41108  11.24725   8.71728  1.04355E+00  7.79226E-01  1.52838E+08  1.64617E+08  5.68888E+16  1.30760E+06 -1.59494E+15  3.80510 -99.00000   0.96888   0.90417   0.10000 -235.15845
2.12   1.42603  11.24796   8.67938  1.08876E+00  7.87914E-01  9.63665E+07  1.07192E+08  5.65646E+16  8.13131E+05 -1.59408E+15  3.80510 -99.00000   0.97881   0.86045   0.15193 -235.22754
2.14   1.44496  11.24870   8.64469  1.10319E+00  1.14420E+00  6.66903E+07  9.46072E+07 -4.01710E+16  6.85368E+05 -2.30918E+15  3.80510 -99.00000   0.77766   0.71549   0.31387 -235.29662
2.16   1.47183  11.24945   8.62597  1.04044E+00  1.45880E+00  5.74964E+07  1.76263E+08 -1.35973E+17  1.21944E+06 -2.99107E+15  3.80510 -99.00000   0.33939   0.51943   0.50000 -235.36569
2.18   1.49917  11.25026   8.63058  9.70286E-01  1.21602E+00  5.22681E+07  1.47574E+08 -6.81796E+16  9.75013E+05 -2.53575E+15  3.80510 -99.00000   0.34366   0.48469   0.50000 -235.43477
