       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.1000        0.8000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.14582  11.43762   8.31239  4.33739E-01  2.24123E-01  3.62306E+07  4.11305E+07  2.72653E+16  4.11305E+05 -7.87595E+13 10.47253 -99.00000   0.38207   0.76945   0.10000 -234.12228
2.02   1.20017  11.43800   8.44123  3.63230E-01  9.16828E-01  1.87188E+08  6.13538E+08  3.80318E+15  5.34369E+06 -3.65141E+14 10.47253 -99.00000   0.11082   0.72469   0.10000 -234.39861
2.04   1.20017  11.43800   8.44123  3.63230E-01  9.16828E-01  1.87188E+08  6.13538E+08  3.80318E+15  5.34369E+06 -3.65141E+14 10.47253 -99.00000   0.11082   0.72469   0.10000 -234.39861
2.06   1.21454  11.43815   8.39348  3.73110E-01  9.60684E-01  1.92880E+08  6.22377E+08  1.94584E+15  5.17671E+06 -3.95479E+14 10.47253 -99.00000   0.11563   0.73198   0.10000 -234.49071
2.08   1.23156  11.43830   8.32416  3.76863E-01  1.03379E+00  2.08837E+08  7.67464E+08 -1.82091E+15  6.09618E+06 -4.42580E+14 10.47253 -99.00000   0.10255   0.73465   0.10000 -234.58281
2.10   1.24567  11.43848   8.25471  2.88745E-01  7.55432E-01  2.01073E+08  2.14087E+09  1.42585E+16  1.62402E+07 -3.34094E+14 10.47253 -99.00000   0.02712   0.65367   0.10000 -234.67491
2.12   1.24567  11.43848   8.25471  2.88745E-01  7.55432E-01  2.01073E+08  2.14087E+09  1.42585E+16  1.62402E+07 -3.34094E+14 10.47253 -99.00000   0.02712   0.65367   0.10000 -234.67491
2.14   1.24567  11.43848   8.25471  2.88745E-01  7.55432E-01  2.01073E+08  2.14087E+09  1.42585E+16  1.62402E+07 -3.34094E+14 10.47253 -99.00000   0.02712   0.65367   0.10000 -234.67491
2.16   1.24567  11.43848   8.25471  2.88745E-01  7.55432E-01  2.01073E+08  2.14087E+09  1.42585E+16  1.62402E+07 -3.34094E+14 10.47253 -99.00000   0.02712   0.65367   0.10000 -234.67491
2.18   1.33857  11.43927   8.22558  4.02181E-01  9.46396E-01  1.82061E+08  4.38807E+08  3.69625E+15  2.76868E+06 -4.11756E+14 10.47253 -99.00000   0.16687   0.75136   0.10000 -234.92819
