       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.4000        0.5000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.25264  11.24249   8.67841  1.11192E+00  8.58818E-01  1.38187E+08  1.48503E+08  2.52591E+16  1.48503E+06 -1.53653E+15  4.20513 -99.00000   1.03468   0.91007   0.10000 -234.81306
2.02   1.27422  11.24299   8.74802  1.10569E+00  1.28269E+00  8.74417E+07  1.16580E+08 -5.31534E+16  1.11333E+06 -2.30326E+15  4.20513 -99.00000   0.82933   0.78455   0.23823 -234.88214
2.04   1.30093  11.24349   8.76605  1.05517E+00  1.30865E+00  4.52335E+07  1.09706E+08 -6.17153E+16  1.00054E+06 -2.38646E+15  4.20513 -99.00000   0.43506   0.52614   0.50000 -234.95122
2.06   1.32571  11.24401   8.75381  1.01693E+00  1.17073E+00  2.12264E+08  2.39361E+08 -3.61423E+16  2.08474E+06 -2.15858E+15  4.20513 -99.00000   0.90181   0.90167   0.10000 -235.02029
2.08   1.34743  11.24456   8.72412  1.01184E+00  9.85500E-01  1.80292E+08  1.99494E+08  3.22693E+15  1.65932E+06 -1.82427E+15  4.20513 -99.00000   0.91445   0.90117   0.10000 -235.08937
2.10   1.36461  11.24515   8.68244  1.01942E+00  7.25238E-01  1.30840E+08  1.40656E+08  6.36165E+16  1.11727E+06 -1.33381E+15  4.20513 -99.00000   0.94828   0.90191   0.10000 -235.15845
2.12   1.37824  11.24578   8.63110  1.06322E+00  7.29650E-01  9.33414E+07  1.02125E+08  6.45909E+16  7.74695E+05 -1.32239E+15  4.20513 -99.00000   0.97178   0.87468   0.13325 -235.22754
2.14   1.39682  11.24643   8.58512  1.07866E+00  1.17501E+00  6.97551E+07  9.75450E+07 -4.36408E+16  7.06651E+05 -2.12258E+15  4.20513 -99.00000   0.77135   0.73847   0.28210 -235.29662
2.16   1.42526  11.24709   8.56205  1.02052E+00  1.57738E+00  5.74882E+07  2.30010E+08 -1.53719E+17  1.59128E+06 -2.90537E+15  4.20513 -99.00000   0.25507   0.51473   0.49522 -235.36569
2.18   1.45489  11.24779   8.56893  9.54733E-01  1.29905E+00  5.12468E+07  1.78297E+08 -8.52386E+16  1.17800E+06 -2.44635E+15  4.20513 -99.00000   0.27441   0.47629   0.50000 -235.43477
2.20   1.47537  11.24861   8.60927  9.40159E-01  7.19501E-01  1.44277E+08  1.57062E+08  8.38105E+16  9.90993E+05 -1.35643E+15  4.20513 -99.00000   0.86363   0.89364   0.10000 -235.50385
2.22   1.48536  11.24958   8.68767  1.01104E+00  3.84770E-01  7.01116E+07  7.28539E+07  1.88102E+17  4.38988E+05 -7.08855E+14  4.20513 -99.00000   0.97298   0.90109   0.10000 -235.57292
2.24   1.49478  11.25069   8.76855  1.09854E+00  6.56085E-01  5.72551E+07  6.37559E+07  1.07457E+17  3.66877E+05 -1.17962E+15  4.20513 -99.00000   0.98653   0.82927   0.18755 -235.64200
2.26   1.51415  11.25193   8.79349  1.10696E+00  1.24282E+00  4.03134E+07  8.17912E+07 -7.93277E+16  4.49476E+05 -2.23127E+15  4.20513 -99.00000   0.54560   0.54831   0.50000 -235.71107
