       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.2000        0.0000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.39439   9.66680   8.77425  1.00317E+00  1.04650E+00  2.58674E+08  2.88695E+08 -1.15293E+16  2.88695E+06 -2.59494E+15  3.33333 -99.00000   0.89885   0.90032   0.10000 -234.81306
2.02   1.41534   9.68637   8.78155  9.91346E-01  1.02889E+00  7.40881E+07  1.16574E+08 -7.51661E+15  1.11328E+06 -2.55683E+15  3.33333 -99.00000   0.63004   0.64884   0.34812 -234.88214
2.04   1.43570   9.70549   8.78487  9.83983E-01  1.01770E+00  5.14465E+07  1.08433E+08 -4.82570E+15  9.88925E+05 -2.53113E+15  3.33333 -99.00000   0.46685   0.49186   0.50000 -234.95122
2.06   1.45617   9.72430   8.78529  9.94036E-01  1.02203E+00  5.11991E+07  1.06038E+08 -6.29717E+15  9.23555E+05 -2.54469E+15  3.33333 -99.00000   0.47996   0.49700   0.50000 -235.02029
2.08   1.47618   9.74294   8.78374  9.83491E-01  9.75550E-01  2.46978E+08  2.74682E+08  7.31909E+15  2.28470E+06 -2.42900E+15  3.33333 -99.00000   0.88430   0.89832   0.10000 -235.08937
2.10   1.49538   9.76154   8.78086  9.89654E-01  9.53240E-01  2.39384E+08  2.65195E+08  1.46303E+16  2.10652E+06 -2.36907E+15  3.33333 -99.00000   0.89333   0.89895   0.10000 -235.15845
2.12   1.51465   9.78024   8.77739  1.00080E+00  9.76720E-01  1.95988E+08  2.22835E+08  7.61446E+15  1.69038E+06 -2.42337E+15  3.33333 -99.00000   0.88022   0.87655   0.12355 -235.22754
2.14   1.53451   9.79904   8.77442  9.95042E-01  1.01413E+00  6.51461E+07  1.08117E+08 -4.83717E+15  7.83238E+05 -2.51536E+15  3.33333 -99.00000   0.59957   0.61003   0.38803 -235.29662
2.16   1.55546   9.81794   8.77238  9.93487E-01  1.07380E+00  5.37347E+07  1.17830E+08 -2.65183E+16  8.15186E+05 -2.66924E+15  3.33333 -99.00000   0.45307   0.49672   0.50000 -235.36569
2.18   1.57661   9.83693   8.77324  9.74738E-01  1.02632E+00  2.62426E+08  2.94206E+08 -9.92866E+15  1.94380E+06 -2.55796E+15  3.33333 -99.00000   0.86945   0.89741   0.10000 -235.43477
2.20   1.59641   9.85600   8.77915  9.76025E-01  9.59851E-01  2.44995E+08  2.72446E+08  1.58522E+16  1.71902E+06 -2.39121E+15  3.33333 -99.00000   0.87768   0.89754   0.10000 -235.50385
2.22   1.61542   9.87513   8.78924  9.92542E-01  9.48734E-01  2.37584E+08  2.62903E+08  2.11472E+16  1.58415E+06 -2.35812E+15  3.33333 -99.00000   0.89696   0.89925   0.10000 -235.57292
2.24   1.63457   9.89433   8.79754  9.97677E-01  9.72804E-01  7.68009E+07  1.10953E+08  1.17237E+16  6.38471E+05 -2.41320E+15  3.33333 -99.00000   0.69058   0.68432   0.31495 -235.64200
2.26   1.65465   9.91361   8.80080  1.00680E+00  1.03254E+00  5.08911E+07  1.03716E+08 -1.46937E+16  5.69960E+05 -2.56186E+15  3.33333 -99.00000   0.49402   0.50338   0.50000 -235.71107
2.28   1.67527   9.93299   8.79944  9.93794E-01  1.01778E+00  2.54463E+08  2.83699E+08 -8.41633E+15  1.48887E+06 -2.52883E+15  3.33333 -99.00000   0.89138   0.89938   0.10000 -235.78015
2.30   1.69530   9.95247   8.79444  9.91067E-01  9.91975E-01  2.48713E+08  2.76653E+08  3.97898E+15  1.38655E+06 -2.46491E+15  3.33333 -99.00000   0.89098   0.89910   0.10000 -235.84923
2.32   1.71519   9.97205   8.78791  9.95907E-01  9.96979E-01  1.29886E+08  1.60842E+08  1.56819E+15  7.69839E+05 -2.47674E+15  3.33333 -99.00000   0.80423   0.80774   0.19147 -235.91830
2.34   1.73517   9.99173   8.78564  9.88815E-01  1.00484E+00  5.04870E+07  1.03851E+08 -2.63069E+15  4.74690E+05 -2.49612E+15  3.33333 -99.00000   0.48071   0.49434   0.50000 -235.98738
2.36   1.75567  10.01152   8.78985  9.91796E-01  1.04204E+00  2.61292E+08  2.92252E+08 -2.39492E+16  1.27573E+06 -2.59149E+15  3.33333 -99.00000   0.88673   0.89917   0.10000 -236.05646
2.38   1.77626  10.03142   8.79662  9.79519E-01  1.00660E+00  2.55921E+08  2.85918E+08 -3.94519E+15  1.19190E+06 -2.50680E+15  3.33333 -99.00000   0.87675   0.89791   0.10000 -236.12553
2.40   1.79590  10.05140   8.80119  9.82766E-01  9.63865E-01  1.35788E+08  1.65466E+08  2.25854E+16  6.58732E+05 -2.39837E+15  3.33333 -99.00000   0.80650   0.81713   0.17972 -236.19461
2.42   1.81517  10.07146   8.80298  9.96232E-01  9.67066E-01  5.96007E+07  9.83878E+07  2.15184E+16  3.74060E+05 -2.40227E+15  3.33333 -99.00000   0.60349   0.59388   0.40459 -236.26370
2.44   1.83468  10.09157   8.80426  9.95930E-01  9.90118E-01  7.82416E+07  1.14176E+08  6.75329E+15  4.14547E+05 -2.45680E+15  3.33333 -99.00000   0.68249   0.68343   0.31529 -236.33278
2.46   1.85505  10.11172   8.80623  1.00057E+00  1.04334E+00  9.96409E+07  1.36652E+08 -3.10419E+16  4.73824E+05 -2.59105E+15  3.33333 -99.00000   0.72957   0.74026   0.25989 -236.40184
2.48   1.87582  10.13191   8.80833  9.85319E-01  1.02229E+00  7.46148E+07  1.17366E+08 -1.67436E+16  3.88635E+05 -2.54325E+15  3.33333 -98.99999   0.62641   0.64892   0.34593 -236.47092
2.50   1.89592  10.15212   8.80978  9.82804E-01  9.95227E-01  5.03989E+07  1.03949E+08  3.75627E+15  3.28717E+05 -2.47652E+15  3.33333 -99.00000   0.47650   0.49127   0.49998 -236.54001
2.52   1.91578  10.17236   8.81064  9.89493E-01  9.86760E-01  4.96150E+07  1.00013E+08  1.09060E+16  3.02034E+05 -2.45469E+15  3.33333 -99.00000   0.49087   0.49469   0.50000 -236.60909
2.54   1.93527  10.19261   8.81177  9.89175E-01  9.64335E-01  6.64936E+07  1.03738E+08  3.07262E+16  2.99185E+05 -2.39606E+15  3.33333 -99.00000   0.63404   0.63173   0.36429 -236.67816
2.56   1.95464  10.21288   8.81356  1.00463E+00  9.79049E-01  7.98620E+07  1.13069E+08  1.88729E+16  3.11419E+05 -2.42907E+15  3.33333 -98.99997   0.70958   0.69864   0.30276 -236.74718
2.58   1.97442  10.23315   8.81547  1.00224E+00  9.97925E-01  6.67047E+07  1.05503E+08  1.95664E+15  2.77502E+05 -2.47468E+15  3.33333 -98.99993   0.63367   0.63066   0.37016 -236.81615
2.60   1.99470  10.25342   8.81682  9.98882E-01  1.03829E+00  5.17370E+07  1.07515E+08 -3.78230E+16  2.70064E+05 -2.57643E+15  3.33333 -99.00000   0.48067   0.50090   0.49854 -236.88539
2.62   2.01576  10.27369   8.81765  9.91336E-01  1.04796E+00  5.26178E+07  1.12650E+08 -4.97282E+16  2.70228E+05 -2.60678E+15  3.33333 -99.00000   0.46305   0.49589   0.49975 -236.95447
