       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        1.0000        0.0000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.61540  10.03147   8.96198  1.00004E+00  9.76204E-01  9.75657E+07  1.63383E+08  9.81557E+15  1.63383E+06 -4.02664E+15  2.00000 -99.00000   0.59719   0.58732   0.41269 -234.81306
2.02   1.63524  10.04960   8.96387  1.00274E+00  1.00229E+00  1.65282E+08  2.19954E+08 -9.90635E+14  2.10054E+06 -4.13270E+15  2.00000 -99.00000   0.75350   0.75133   0.24936 -234.88214
2.04   1.65535  10.06747   8.96612  1.00112E+00  1.00671E+00  1.48101E+08  2.06062E+08 -3.03281E+15  1.87931E+06 -4.15197E+15  2.00000 -99.00000   0.71952   0.72028   0.28003 -234.95122
2.06   1.67545  10.08513   8.96814  9.99168E-01  1.00255E+00  1.28127E+08  1.89655E+08 -1.20867E+15  1.65183E+06 -4.13578E+15  2.00000 -99.00000   0.67502   0.67668   0.32306 -235.02029
2.08   1.69545  10.10264   8.97006  9.98781E-01  9.97620E-01  1.30948E+08  1.91076E+08  1.18043E+15  1.58930E+06 -4.11542E+15  2.00000 -99.00000   0.68448   0.68495   0.31466 -235.08937
2.10   1.71537  10.12004   8.97212  1.00002E+00  9.94915E-01  1.41517E+08  1.98893E+08  2.64053E+15  1.57986E+06 -4.10352E+15  2.00000 -99.00000   0.71154   0.71004   0.28996 -235.15845
2.12   1.73528  10.13741   8.97423  1.00118E+00  9.96721E-01  1.25821E+08  1.86246E+08  1.78222E+15  1.41282E+06 -4.11010E+15  2.00000 -99.00000   0.67636   0.67411   0.32628 -235.22754
2.14   1.75525  10.15480   8.97607  1.00073E+00  1.00036E+00  1.18603E+08  1.81668E+08 -2.04831E+14  1.31607E+06 -4.12483E+15  2.00000 -99.00000   0.65333   0.65273   0.34753 -235.29662
2.16   1.77529  10.17231   8.97786  9.99296E-01  1.00252E+00  1.39808E+08  1.98893E+08 -1.50301E+15  1.37600E+06 -4.13408E+15  2.00000 -99.00000   0.70243   0.70388   0.29591 -235.36569
2.18   1.79533  10.18998   8.97983  9.99023E-01  1.00198E+00  1.45088E+08  2.03266E+08 -1.23749E+15  1.34296E+06 -4.13229E+15  2.00000 -99.00000   0.71309   0.71463   0.28509 -235.43477
2.20   1.81537  10.20781   8.98171  9.99979E-01  1.00185E+00  1.24847E+08  1.86786E+08 -1.20821E+15  1.17854E+06 -4.13210E+15  2.00000 -99.00000   0.66838   0.66901   0.33098 -235.50385
2.22   1.83541  10.22582   8.98342  1.00045E+00  1.00202E+00  1.28882E+08  1.89785E+08 -1.38347E+15  1.14357E+06 -4.13318E+15  2.00000 -99.00000   0.67940   0.67960   0.32055 -235.57292
2.24   1.85545  10.24403   8.98535  1.00024E+00  1.00225E+00  1.48606E+08  2.06010E+08 -1.61275E+15  1.18546E+06 -4.13452E+15  2.00000 -99.00000   0.72153   0.72191   0.27815 -235.64200
2.26   1.87549  10.26244   8.98751  9.99760E-01  1.00191E+00  1.36578E+08  1.96077E+08 -1.43245E+15  1.07752E+06 -4.13354E+15  2.00000 -99.00000   0.69639   0.69720   0.30272 -235.71107
2.28   1.89551  10.28108   8.98947  9.99480E-01  9.99140E-01  1.18831E+08  1.82016E+08  6.76047E+14  9.55236E+05 -4.12224E+15  2.00000 -99.00000   0.65252   0.65274   0.34708 -235.78015
