       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.9000        0.1000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.56972  10.63963   8.92169  1.00245E+00  9.55925E-01  7.62294E+07  1.36573E+08  1.63651E+16  1.36573E+06 -3.54933E+15  2.20965 -99.00000   0.55953   0.53666   0.46448 -234.81306
2.02   1.58940  10.64373   8.92356  1.00609E+00  1.00371E+00  1.17865E+08  1.71166E+08 -1.43980E+15  1.63462E+06 -3.72400E+15  2.20965 -99.00000   0.69280   0.68786   0.31404 -234.88214
2.04   1.60962  10.64791   8.92603  1.00305E+00  1.01354E+00  1.16597E+08  1.72499E+08 -5.51115E+15  1.57321E+06 -3.76236E+15  2.20965 -99.00000   0.67799   0.67928   0.32170 -234.95122
2.06   1.62984  10.65216   8.92829  9.99594E-01  1.00665E+00  1.02403E+08  1.62022E+08 -2.83626E+15  1.41115E+06 -3.73865E+15  2.20965 -99.00000   0.63178   0.63461   0.36524 -235.02029
2.08   1.64986  10.65651   8.93020  9.98680E-01  9.96235E-01  9.83641E+07  1.57697E+08  1.68127E+15  1.31166E+06 -3.70020E+15  2.20965 -99.00000   0.62293   0.62283   0.37667 -235.08937
2.10   1.66971  10.66096   8.93211  1.00089E+00  9.88823E-01  1.20789E+08  1.72494E+08  5.22448E+15  1.37017E+06 -3.67133E+15  2.20965 -99.00000   0.70087   0.69659   0.30368 -235.15845
2.12   1.68951  10.66555   8.93425  1.00430E+00  9.94369E-01  1.40455E+08  1.89272E+08  2.75488E+15  1.43577E+06 -3.69028E+15  2.20965 -99.00000   0.74527   0.73951   0.26161 -235.22754
2.14   1.70951  10.67029   8.93605  1.00364E+00  1.00515E+00  1.29259E+08  1.81271E+08 -2.63865E+15  1.31319E+06 -3.73029E+15  2.20965 -99.00000   0.71567   0.71350   0.28754 -235.29662
2.16   1.72967  10.67521   8.93739  9.99036E-01  1.00847E+00  1.98531E+08  2.45322E+08 -4.54527E+15  1.69721E+06 -3.74400E+15  2.20965 -99.00000   0.80849   0.81105   0.18877 -235.36569
2.18   1.74977  10.68034   8.93924  9.96619E-01  1.00079E+00  3.72891E+08  4.14673E+08 -4.43243E+14  2.73971E+06 -3.71630E+15  2.20965 -99.00000   0.89620   0.89966   0.10000 -235.43477
2.20   1.76973  10.68569   8.94161  9.99099E-01  9.96328E-01  1.85431E+08  2.31588E+08  2.16096E+15  1.46122E+06 -3.69940E+15  2.20965 -99.00000   0.79997   0.80014   0.19968 -235.50385
2.22   1.78969  10.69130   8.94363  1.00304E+00  1.00066E+00  1.03958E+08  1.61015E+08 -4.09558E+14  9.70213E+05 -3.71514E+15  2.20965 -99.00000   0.64760   0.64480   0.35629 -235.57292
2.24   1.80975  10.69720   8.94552  1.00336E+00  1.00509E+00  1.05977E+08  1.63146E+08 -3.28478E+15  9.38804E+05 -3.73213E+15  2.20965 -99.00000   0.65177   0.65019   0.35098 -235.64200
2.26   1.82986  10.70340   8.94781  1.00138E+00  1.00534E+00  1.10602E+08  1.67074E+08 -3.60731E+15  9.18141E+05 -3.73401E+15  2.20965 -99.00000   0.66291   0.66332   0.33714 -235.71107
2.28   1.84994  10.70994   8.94973  1.00045E+00  1.00153E+00  8.14879E+07  1.49972E+08 -1.07968E+15  7.87066E+05 -3.72047E+15  2.20965 -99.00000   0.54360   0.54384   0.45636 -235.78015
2.30   1.86992  10.71680   8.95082  1.00106E+00  9.97334E-01  7.55240E+07  1.47419E+08  1.97561E+15  7.38845E+05 -3.70479E+15  2.20965 -99.00000   0.51285   0.51049   0.49003 -235.84923
2.32   1.88988  10.72399   8.95195  1.00247E+00  1.00062E+00  2.21766E+08  2.66054E+08 -4.79665E+14  1.27341E+06 -3.71666E+15  2.20965 -99.00000   0.83559   0.83323   0.16718 -235.91830
2.34   1.90998  10.73150   8.95392  1.00210E+00  1.00874E+00  3.22297E+08  3.64820E+08 -7.10194E+15  1.66755E+06 -3.74763E+15  2.20965 -99.00000   0.88529   0.88421   0.11604 -235.98738
2.36   1.93021  10.73933   8.95618  9.99361E-01  1.01230E+00  1.71062E+08  2.20186E+08 -1.04747E+16  9.61146E+05 -3.76285E+15  2.20965 -99.00000   0.77640   0.77975   0.22011 -236.05646
2.38   1.95040  10.74749   8.95825  9.97726E-01  1.00680E+00  1.31026E+08  1.84456E+08 -6.06530E+15  7.68942E+05 -3.74408E+15  2.20965 -99.00000   0.70872   0.71294   0.28640 -236.12553
2.40   1.97050  10.75595   8.96020  9.99467E-01  1.00366E+00  1.26439E+08  1.79809E+08 -3.42051E+15  7.15831E+05 -3.73323E+15  2.20965 -99.00000   0.70281   0.70442   0.29542 -236.19461
2.42   1.99061  10.76472   8.96218  1.00236E+00  1.00806E+00  1.35491E+08  1.87420E+08 -7.88949E+15  7.12552E+05 -3.75053E+15  2.20965 -99.00000   0.72463   0.72449   0.27616 -236.26370
2.44   2.01081  10.77378   8.96430  1.00210E+00  1.01123E+00  1.41599E+08  1.93210E+08 -1.15161E+16  7.01504E+05 -3.76408E+15  2.20965 -99.00000   0.73441   0.73529   0.26527 -236.33278
2.46   2.03102  10.78312   8.96652  9.99825E-01  1.01004E+00  1.37155E+08  1.89742E+08 -1.07861E+16  6.57907E+05 -3.76152E+15  2.20965 -99.00000   0.72272   0.72565   0.27430 -236.40186
2.48   2.05123  10.79274   8.96872  9.98824E-01  1.01111E+00  1.30635E+08  1.84674E+08 -1.25016E+16  6.11512E+05 -3.76726E+15  2.20965 -99.00000   0.70655   0.71094   0.28872 -236.47093
2.50   2.07150  10.80260   8.97084  9.98959E-01  1.01625E+00  1.32867E+08  1.87319E+08 -1.91558E+16  5.92356E+05 -3.78874E+15  2.20965 -99.00000   0.70857   0.71425   0.28545 -236.54001
2.52   2.09185  10.81268   8.97297  9.99031E-01  1.01791E+00  1.42555E+08  1.95814E+08 -2.21307E+16  5.91350E+05 -3.79806E+15  2.20965 -99.00000   0.72731   0.73306   0.26669 -236.60909
2.54   2.11218  10.82295   8.97519  9.99766E-01  1.01411E+00  1.46269E+08  1.98392E+08 -1.82738E+16  5.72167E+05 -3.78671E+15  2.20965 -99.00000   0.73710   0.74099   0.25895 -236.67816
2.56   2.13242  10.83336   8.97745  1.00222E+00  1.01194E+00  1.39609E+08  1.91829E+08 -1.61960E+16  5.28342E+05 -3.78074E+15  2.20965 -99.00000   0.72939   0.73039   0.27021 -236.74724
2.58   2.15270  10.84389   8.97961  1.00357E+00  1.01635E+00  1.32193E+08  1.85932E+08 -2.32347E+16  4.89050E+05 -3.79967E+15  2.20965 -99.00000   0.71352   0.71461   0.28641 -236.81631
2.60   2.17305  10.85455   8.98166  1.00130E+00  1.01724E+00  1.32374E+08  1.86795E+08 -2.56755E+16  4.69208E+05 -3.80603E+15  2.20965 -99.00000   0.70958   0.71322   0.28715 -236.88539
2.62   2.19333  10.86536   8.98367  9.98274E-01  1.00942E+00  1.36370E+08  1.89716E+08 -1.46948E+16  4.55098E+05 -3.77919E+15  2.20965 -99.00000   0.71757   0.72191   0.27761 -236.95447
2.64   2.21343  10.87636   8.98569  9.98491E-01  1.00123E+00  1.35280E+08  1.87565E+08 -2.00699E+15  4.29687E+05 -3.74939E+15  2.20965 -99.00000   0.72015   0.72200   0.27758 -237.02354
2.66   2.23343  10.88757   8.98769  1.00143E+00  1.00034E+00  1.30456E+08  1.82716E+08 -5.75068E+14  3.99739E+05 -3.74604E+15  2.20965 -99.00000   0.71501   0.71367   0.28674 -237.09262
2.68   2.25348  10.89901   8.98965  1.00295E+00  1.00436E+00  1.29190E+08  1.81922E+08 -7.81691E+15  3.80090E+05 -3.76154E+15  2.20965 -99.00000   0.71223   0.71055   0.29031 -237.16170
2.70   2.27357  10.91069   8.99161  1.00147E+00  1.00441E+00  1.30388E+08  1.83274E+08 -8.27291E+15  3.65679E+05 -3.76254E+15  2.20965 -99.00000   0.71248   0.71228   0.28814 -237.23077
2.72   2.29364  10.92264   8.99357  9.99853E-01  1.00232E+00  1.27805E+08  1.81192E+08 -4.56241E+15  3.45254E+05 -3.75529E+15  2.20965 -99.00000   0.70526   0.70609   0.29387 -237.29987
2.74   2.31368  10.93484   8.99545  9.99709E-01  1.00275E+00  1.23994E+08  1.78184E+08 -5.67208E+15  3.24242E+05 -3.75732E+15  2.20965 -99.00000   0.69567   0.69680   0.30311 -237.36894
2.76   2.33376  10.94731   8.99725  9.99753E-01  1.00389E+00  1.24467E+08  1.78746E+08 -8.39084E+15  3.10625E+05 -3.76220E+15  2.20965 -99.00000   0.69616   0.69759   0.30234 -237.43802
2.78   2.35380  10.96005   8.99907  9.99811E-01  1.00047E+00  1.30152E+08  1.82903E+08 -1.06632E+15  3.03543E+05 -3.74980E+15  2.20965 -98.97622   0.71146   0.71178   0.28816 -237.45235
2.80   2.37378  10.97306   9.00100  1.00124E+00  9.97875E-01  1.29734E+08  1.81852E+08  5.02435E+15  2.88215E+05 -3.73987E+15  2.20965 -99.00000   0.71429   0.71244   0.28792 -237.57617
2.82   2.39379  10.98636   9.00293  1.00359E+00  1.00434E+00  1.20703E+08  1.74895E+08 -1.07429E+16  2.64715E+05 -3.76415E+15  2.20965 -99.00000   0.69262   0.69038   0.31074 -237.64525
2.84   2.41396  10.99996   9.00475  1.00294E+00  1.01204E+00  1.18827E+08  1.74834E+08 -3.12265E+16  2.52712E+05 -3.79451E+15  2.20965 -99.00000   0.68165   0.68254   0.31839 -237.71432
2.86   2.43422  11.01384   9.00652  9.99355E-01  1.01184E+00  1.26384E+08  1.81717E+08 -3.21732E+16  2.50839E+05 -3.79602E+15  2.20965 -98.66744   0.69505   0.69926   0.30055 -237.01765
2.88   2.45438  11.02796   9.00837  9.97375E-01  1.00440E+00  1.34397E+08  1.87691E+08 -1.25358E+16  2.47424E+05 -3.76953E+15  2.20965 -98.07726   0.71418   0.71805   0.28121 -235.72778
2.90   2.47444  11.04228   9.01031  9.99620E-01  1.00305E+00  1.38474E+08  1.90481E+08 -9.09984E+15  2.39802E+05 -3.76496E+15  2.20965 -99.00000   0.72669   0.72790   0.27199 -237.92155
2.92   2.49455  11.05683   9.01229  1.00210E+00  1.00794E+00  1.35335E+08  1.87986E+08 -2.48026E+16  2.26008E+05 -3.78431E+15  2.20965 -99.00000   0.72143   0.72154   0.27904 -237.99063
2.94   2.51470  11.07174   9.01420  1.00017E+00  1.00729E+00  1.31837E+08  1.85401E+08 -2.38536E+16  2.12869E+05 -3.78319E+15  2.20965 -99.00000   0.71121   0.71314   0.28691 -238.05971
2.96   2.53494  11.08711   9.01603  1.00381E+00  1.01883E+00  1.39975E+08  1.93205E+08 -6.45430E+16  2.11845E+05 -3.82862E+15  2.20965 -93.40911   0.72726   0.72855   0.27248 -225.25529
2.98   2.55533  11.10272   9.01795  1.00132E+00  1.01273E+00  1.53668E+08  2.04902E+08 -4.57094E+16  2.14559E+05 -3.80910E+15  2.20965 -75.63732   0.75095   0.75277   0.24755 -184.40332
3.00   2.57529  11.11824   9.02003  9.98939E-01  9.84846E-01  1.45736E+08  1.94600E+08  5.69941E+16  1.94600E+05 -3.70389E+15  2.20965 -53.12465   0.74811   0.74531   0.25442 -132.63506
3.02   2.59510  11.13372   9.02211  1.01167E+00  1.00540E+00  1.31781E+08  1.82647E+08 -2.12749E+16  1.74426E+05 -3.77960E+15  2.20964 -30.59425   0.72993   0.71977   0.28350  -80.82597
3.04   2.61543  11.14988   9.02406  1.00460E+00  1.02255E+00  1.31523E+08  1.86557E+08 -9.30265E+16  1.70142E+05 -3.84695E+15  2.20964 -12.82776   0.70824   0.71018   0.29115  -39.98619
3.06   2.63594  11.16696   9.02597  9.96949E-01  1.02646E+00  1.41212E+08  1.97117E+08 -1.14418E+17  1.71682E+05 -3.86614E+15  2.20965  -4.39459   0.71420   0.72454   0.27462  -20.63717
3.08   2.65635  11.18393   9.02793  9.99643E-01  1.00883E+00  1.44335E+08  1.96674E+08 -4.00421E+16  1.63587E+05 -3.80338E+15  2.20965  -4.64682   0.73361   0.73630   0.26361  -21.28703
3.10   2.67599  11.20001   9.02996  9.99313E-01  9.46849E-01  1.37130E+08  1.82059E+08  2.52058E+17  1.44614E+05 -3.56671E+15  2.20962  -7.71918   0.75270   0.73955   0.26027  -28.43047
3.12   2.69466  11.21603   9.03207  1.00535E+00  9.50740E-01  1.40450E+08  1.84283E+08  2.43868E+17  1.39793E+05 -3.57044E+15  2.20954  -8.79290   0.76622   0.74848   0.25286  -30.97188
3.14   2.71507  11.23423   9.03415  1.01649E+00  1.10039E+00  1.57921E+08  2.17646E+08 -5.20910E+17  1.57671E+05 -4.13630E+15  2.20946  -8.14261   0.73755   0.74651   0.25767  -29.54362
3.16   2.73801  11.25445   9.03604  9.67843E-01  1.14201E+00  1.57964E+08  2.41038E+08 -7.76857E+17  1.66758E+05 -4.32197E+15  2.20942  -7.28416   0.63427   0.70791   0.28270  -27.63604
3.18   2.75943  11.27433   9.03800  9.60367E-01  9.96680E-01  1.53817E+08  2.12701E+08  1.90800E+16  1.40530E+05 -3.78434E+15  2.20926  -6.99398   0.69450   0.73325   0.25618  -27.03696
3.20   2.77728  11.29333   9.04069  9.85557E-01  7.64426E-01  1.50917E+08  1.78140E+08  1.41062E+18  1.12399E+05 -2.88813E+15  2.20855  -7.30914   0.83495   0.80298   0.19418  -27.83172
3.22   2.79183  11.31354   9.04428  1.04883E+00  8.13035E-01  1.55289E+08  1.80077E+08  1.15768E+18  1.08507E+05 -3.03346E+15  2.20687  -8.02098   0.90446   0.82242   0.18625  -29.53986
3.24   2.81494  11.34089   9.04715  1.18583E+00  1.49643E+00  1.95550E+08  2.63567E+08 -3.24191E+18  1.51667E+05 -5.62341E+15  2.20381  -8.06650   0.87981   0.79550   0.24250  -29.71376
3.26   2.84015  11.37746   9.04884  8.11588E-01  8.81751E-01  1.78491E+08  2.58645E+08  8.18370E+17  1.42136E+05 -3.35350E+15  2.19891  -6.41379   0.56008   0.71476   0.23150  -25.97732
3.28   2.85606  11.42247   9.05263  7.98499E-01  9.48515E-01  4.47537E+08  5.25749E+08  3.69607E+17  2.75917E+05 -3.57358E+15  2.19070  -7.65769   0.67971   0.87476   0.10000  -28.91058
3.30   2.88920  11.47423   9.06209  9.88683E-01  2.00000E+00  7.85546E+08  9.87617E+08 -7.74816E+18  4.94981E+05 -7.76656E+15  2.17674 -22.01982   0.78639   0.89886   0.10000  -62.04971
3.32   2.93110  11.54200   9.07552  9.50412E-01  2.00000E+00  7.63496E+08  1.01697E+09 -8.53300E+18  4.86750E+05 -8.16830E+15  2.15303 -54.27848   0.71353   0.88156   0.11257 -136.39708
3.34   2.96440  11.63513   9.08835  8.90405E-01  1.14636E+00  4.27832E+08  5.23813E+08 -1.34845E+18  2.39429E+05 -4.82755E+15  2.10962 -86.45997   0.72725   0.85768   0.12673 -210.56677
3.36   2.97758  11.75841   9.10253  1.20912E+00  4.34960E-01  1.49130E+08  1.53703E+08  5.36614E+18  6.70936E+04 -1.80315E+15  2.03548 -95.73156   1.17314   0.91729   0.10000 -231.98448
3.38   3.01959  11.88583   9.12663  1.41306E+00  2.00000E+00  6.17248E+08  6.85955E+08 -1.04614E+19  2.85954E+05 -8.72210E+15  1.92941 -78.32686   1.27153   0.92923   0.10000 -191.97775
3.40   3.10498  11.99262   9.16138  9.21280E-01  2.00000E+00  1.10057E+09  1.43986E+09 -1.27345E+19  5.73219E+05 -1.01394E+16  1.80006 -49.54576   0.70419   0.89146   0.10000 -125.77589
3.42   3.16657  12.10257   9.19583  8.55162E-01  2.00000E+00  1.30484E+09  1.79602E+09 -1.46749E+19  6.82827E+05 -1.11585E+16  1.65708 -23.38417   0.62129   0.88306   0.10000  -65.60569
3.44   3.23177  12.19889   9.22543  8.08144E-01  2.00000E+00  1.53220E+09  2.20853E+09 -1.70520E+19  8.01867E+05 -1.23824E+16  1.51240  -5.30620   0.56066   0.87626   0.10000  -24.04870
3.46   3.28512  12.27146   9.24996  8.70053E-01  2.00000E+00  1.53675E+09  2.08855E+09 -1.92805E+19  7.24178E+05 -1.33705E+16  1.37849   1.57356   0.64018   0.88506   0.10000   -8.27645
