       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.7000        0.0000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.54526   9.92741   8.90738  1.00542E+00  9.65294E-01  8.71186E+07  1.38139E+08  1.21806E+16  1.38139E+06 -3.38785E+15  2.35294 -99.00000   0.63408   0.61531   0.38678 -234.81306
2.02   1.56508   9.94584   8.90936  1.00780E+00  1.00857E+00  9.57365E+07  1.50566E+08 -3.14672E+15  1.43789E+06 -3.53821E+15  2.35294 -99.00000   0.64080   0.63612   0.36672 -234.88214
2.04   1.58536   9.96397   8.91162  1.00444E+00  1.01550E+00  8.98334E+07  1.49142E+08 -5.96779E+15  1.36019E+06 -3.56489E+15  2.35294 -99.00000   0.60501   0.60667   0.39508 -234.95122
2.06   1.60559   9.98187   8.91358  1.00052E+00  1.00529E+00  7.97986E+07  1.43554E+08 -2.13323E+15  1.25030E+06 -3.53083E+15  2.35294 -99.00000   0.55617   0.55799   0.44224 -235.02029
2.08   1.62556   9.99961   8.91512  9.99481E-01  9.92407E-01  7.58924E+07  1.39630E+08  3.20597E+15  1.16139E+06 -3.48538E+15  2.35294 -99.00000   0.54324   0.54027   0.45949 -235.08937
2.10   1.64531  10.01726   8.91654  1.00195E+00  9.83917E-01  9.41734E+07  1.46853E+08  7.10673E+15  1.16649E+06 -3.45359E+15  2.35294 -99.00000   0.64253   0.63470   0.36601 -235.15845
2.12   1.66504  10.03490   8.91815  1.00601E+00  9.91925E-01  1.40553E+08  1.85227E+08  3.73382E+15  1.40509E+06 -3.47948E+15  2.35294 -99.00000   0.76337   0.75539   0.24608 -235.22754
2.14   1.68504  10.05259   8.91955  1.00580E+00  1.00825E+00  2.07582E+08  2.49748E+08 -3.99701E+15  1.80926E+06 -3.53681E+15  2.35294 -99.00000   0.83598   0.83158   0.16940 -235.29662
2.16   1.70530  10.07039   8.92047  9.99938E-01  1.01399E+00  3.55928E+08  3.96096E+08 -7.09610E+15  2.74032E+06 -3.55905E+15  2.35294 -99.00000   0.89853   0.89999   0.10000 -235.36569
2.18   1.72547  10.08834   8.92202  9.95876E-01  1.00177E+00  3.53208E+08  3.92894E+08 -9.39876E+14  2.59582E+06 -3.51752E+15  2.35294 -99.00000   0.89528   0.89959   0.10000 -235.43477
2.20   1.74539  10.10643   8.92460  9.98368E-01  9.91994E-01  3.48829E+08  3.87382E+08  4.45472E+15  2.44422E+06 -3.48259E+15  2.35294 -99.00000   0.89901   0.89984   0.10000 -235.50385
2.22   1.76525  10.12468   8.92713  1.00414E+00  9.96354E-01  1.12105E+08  1.61756E+08  2.12340E+15  9.74678E+05 -3.49676E+15  2.35294 -99.00000   0.69592   0.69065   0.31063 -235.57292
2.24   1.78527  10.14309   8.92917  1.00628E+00  1.00477E+00  8.78964E+07  1.45432E+08 -2.90850E+15  8.36873E+05 -3.52644E+15  2.35294 -99.00000   0.60818   0.60379   0.39870 -235.64200
2.26   1.80539  10.16169   8.93139  1.00387E+00  1.00580E+00  9.20046E+07  1.48772E+08 -3.70720E+15  8.17561E+05 -3.53108E+15  2.35294 -99.00000   0.62082   0.61916   0.38231 -235.71107
2.28   1.82545  10.18048   8.93323  1.00190E+00  9.99526E-01  7.00570E+07  1.39520E+08  3.17433E+14  7.32210E+05 -3.50950E+15  2.35294 -99.00000   0.50308   0.50095   0.50000 -235.78015
2.30   1.84538  10.19947   8.93396  1.00240E+00  9.93181E-01  6.95657E+07  1.37541E+08  4.77663E+15  6.89338E+05 -3.48662E+15  2.35294 -99.00000   0.50699   0.50120   0.50000 -235.84923
2.32   1.86524  10.21864   8.93450  1.00386E+00  9.95220E-01  3.47926E+08  3.86052E+08  3.50489E+15  1.84776E+06 -3.49267E+15  2.35294 -99.00000   0.90472   0.90038   0.10000 -235.91830
2.34   1.88523  10.23801   8.93628  1.00343E+00  1.00382E+00  3.51073E+08  3.89950E+08 -2.93480E+15  1.78241E+06 -3.52277E+15  2.35294 -99.00000   0.90339   0.90034   0.10000 -235.98738
2.36   1.90537  10.25760   8.93881  1.00017E+00  1.00776E+00  3.53714E+08  3.93340E+08 -6.24147E+15  1.71699E+06 -3.53773E+15  2.35294 -99.00000   0.89941   0.90002   0.10000 -236.05646
2.38   1.92545  10.27738   8.94104  9.98039E-01  9.99553E-01  1.39146E+08  1.86422E+08  3.76884E+14  7.77138E+05 -3.50956E+15  2.35294 -99.00000   0.74494   0.74679   0.25272 -236.12553
