       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.2000        0.3000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.26461  11.02447   8.67689  9.22911E-01  6.36277E-01  1.26794E+08  1.37030E+08  6.68932E+16  1.37030E+06 -1.17019E+15  4.29769 -99.00000   0.85397   0.89165   0.10000 -234.81306
2.02   1.28416  11.02518   8.71093  1.06350E+00  1.29023E+00  8.88490E+07  1.24468E+08 -5.58350E+16  1.18866E+06 -2.37043E+15  4.29769 -99.00000   0.75916   0.76412   0.25086 -234.88214
2.04   1.30889  11.02588   8.72124  9.34964E-01  1.09581E+00  4.35371E+07  1.16654E+08 -1.95126E+16  1.06390E+06 -2.03528E+15  4.29769 -99.00000   0.34894   0.46522   0.50000 -234.95122
2.06   1.32987  11.02662   8.71712  9.25286E-01  1.04562E+00  2.10365E+08  2.39631E+08 -9.75090E+15  2.08710E+06 -1.94648E+15  4.29769 -99.00000   0.81228   0.89193   0.10000 -235.02029
2.08   1.35080  11.02738   8.70271  9.38016E-01  1.01036E+00  2.00938E+08  2.27006E+08 -2.32422E+15  1.88815E+06 -1.88483E+15  4.29769 -99.00000   0.83030   0.89339   0.10000 -235.08937
2.10   1.36937  11.02819   8.68268  9.11995E-01  8.49787E-01  1.73256E+08  1.92973E+08  3.51624E+16  1.53284E+06 -1.58009E+15  4.29769 -99.00000   0.81882   0.89035   0.10000 -235.15845
2.12   1.38631  11.02904   8.66015  9.42218E-01  8.99722E-01  1.46307E+08  1.66661E+08  2.44070E+16  1.26425E+06 -1.66118E+15  4.29769 -99.00000   0.82715   0.87211   0.12050 -235.22754
2.14   1.40617  11.02993   8.64159  9.31118E-01  1.07477E+00  7.64902E+07  1.16830E+08 -1.90500E+16  8.46358E+05 -1.98374E+15  4.29769 -99.00000   0.60962   0.70086   0.27853 -235.29662
2.16   1.42933  11.03087   8.63073  9.22412E-01  1.23704E+00  4.98674E+07  1.82628E+08 -6.37008E+16  1.26348E+06 -2.29992E+15  4.29769 -99.00000   0.25187   0.45794   0.50000 -235.36569
2.18   1.45406  11.03186   8.63224  9.17875E-01  1.16492E+00  2.38547E+08  2.76824E+08 -4.69176E+16  1.82896E+06 -2.18956E+15  4.29769 -99.00000   0.79096   0.89105   0.10000 -235.43477
2.20   1.47425  11.03296   8.65078  8.96192E-01  8.44337E-01  1.77158E+08  1.97970E+08  4.63907E+16  1.24911E+06 -1.58768E+15  4.29769 -99.00000   0.80198   0.88842   0.10000 -235.50385
2.22   1.48946  11.03420   8.68920  9.33580E-01  7.45432E-01  1.48496E+08  1.62384E+08  7.85708E+16  9.78462E+05 -1.38633E+15  4.29769 -99.00000   0.85373   0.89289   0.10000 -235.57292
2.24   1.50557  11.03558   8.72814  9.34084E-01  8.77482E-01  8.58588E+07  1.07703E+08  3.92437E+16  6.19765E+05 -1.61737E+15  4.29769 -99.00000   0.74463   0.78410   0.20167 -235.64200
2.26   1.52500  11.03712   8.74091  9.31145E-01  1.07065E+00  4.23311E+07  1.10647E+08 -2.36657E+16  6.08053E+05 -1.97082E+15  4.29769 -99.00000   0.35623   0.46303   0.50000 -235.71107
2.28   1.54784  11.03885   8.72437  9.51191E-01  1.16637E+00  2.27200E+08  2.60824E+08 -5.87367E+16  1.36883E+06 -2.16111E+15  4.29769 -99.00000   0.82857   0.89487   0.10000 -235.78015
2.30   1.56971  11.04077   8.69300  9.17224E-01  1.01032E+00  2.04969E+08  2.32943E+08 -3.83025E+15  1.16748E+06 -1.88002E+15  4.29769 -99.00000   0.80707   0.89098   0.10000 -235.84923
2.32   1.58954  11.04287   8.65924  9.44961E-01  1.01827E+00  1.38783E+08  1.66148E+08 -7.10140E+15  7.95232E+05 -1.89411E+15  4.29769 -99.00000   0.78933   0.84716   0.14443 -235.91830
2.34   1.61067  11.04513   8.64316  9.30234E-01  1.08250E+00  4.34046E+07  1.15893E+08 -3.36593E+16  5.29734E+05 -2.01882E+15  4.29769 -99.00000   0.34839   0.46250   0.50000 -235.98738
2.36   1.63311  11.04753   8.65327  9.34947E-01  1.17011E+00  2.34719E+08  2.70994E+08 -7.30862E+16  1.18293E+06 -2.19450E+15  4.29769 -99.00000   0.80979   0.89304   0.10000 -236.05646
2.38   1.65657  11.05006   8.67823  9.35039E-01  1.12460E+00  2.27374E+08  2.60938E+08 -5.65038E+16  1.08777E+06 -2.12604E+15  4.29769 -99.00000   0.81477   0.89305   0.10000 -236.12553
2.40   1.67699  11.05273   8.69712  9.23929E-01  9.14697E-01  1.87337E+08  2.09820E+08  4.05461E+16  8.35308E+05 -1.73086E+15  4.29769 -99.00000   0.82493   0.89177   0.10000 -236.19461
2.42   1.69463  11.05552   8.70242  9.63428E-01  9.00996E-01  3.52020E+07  6.83997E+07  4.90101E+16  2.60048E+05 -1.69573E+15  4.29769 -99.00000   0.49583   0.48102   0.50000 -236.26370
2.44   1.71374  11.05841   8.70313  9.55629E-01  1.01496E+00  5.63803E+07  9.29175E+07 -7.73833E+15  3.37363E+05 -1.90627E+15  4.29769 -99.00000   0.57986   0.62976   0.35381 -236.33278
