       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.4000        0.2000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.39191  10.86645   8.77893  1.03515E+00  9.58601E-01  2.28319E+08  2.50751E+08  1.02069E+16  2.50751E+06 -2.36344E+15  3.27738 -99.00000   0.94254   0.90340   0.10000 -234.81306
2.02   1.41228  10.86791   8.79279  1.02663E+00  1.05117E+00  7.58653E+07  1.13596E+08 -1.32213E+16  1.08483E+06 -2.59387E+15  3.27738 -99.00000   0.68564   0.67561   0.33303 -234.88214
2.04   1.43347  10.86939   8.79821  1.01023E+00  1.06432E+00  5.21372E+07  1.08944E+08 -1.74498E+16  9.93583E+05 -2.63354E+15  3.27738 -99.00000   0.48347   0.50506   0.50000 -234.95122
2.06   1.45466  10.87092   8.79784  1.00636E+00  1.04598E+00  5.15773E+07  1.06654E+08 -1.30985E+16  9.28914E+05 -2.59526E+15  3.27738 -99.00000   0.48667   0.50316   0.50000 -235.02029
2.08   1.47497  10.87249   8.79369  9.97640E-01  9.81231E-01  2.44210E+08  2.70920E+08  5.60281E+15  2.25341E+06 -2.43634E+15  3.27738 -99.00000   0.89928   0.89976   0.10000 -235.08937
2.10   1.49396  10.87412   8.78692  1.00571E+00  9.22925E-01  2.27331E+08  2.50157E+08  2.40368E+16  1.98707E+06 -2.28628E+15  3.27738 -99.00000   0.91394   0.90057   0.10000 -235.15845
2.12   1.51246  10.87582   8.77874  1.02387E+00  9.45427E-01  1.24217E+08  1.48852E+08  1.77599E+16  1.12916E+06 -2.33394E+15  3.27738 -99.00000   0.85441   0.82076   0.18351 -235.22754
2.14   1.53226  10.87760   8.77148  1.02330E+00  1.04223E+00  6.38282E+07  1.04960E+08 -1.43827E+16  7.60367E+05 -2.57169E+15  3.27738 -99.00000   0.62229   0.61523   0.39373 -235.29662
2.16   1.55425  10.87947   8.76643  1.00615E+00  1.13581E+00  5.59656E+07  1.27481E+08 -4.86621E+16  8.81954E+05 -2.81548E+15  3.27738 -99.00000   0.44171   0.50305   0.50000 -235.36569
2.18   1.57635  10.88144   8.76733  9.77529E-01  1.05349E+00  5.36884E+07  1.19637E+08 -2.01645E+16  7.90432E+05 -2.62410E+15  3.27738 -99.00000   0.43868   0.48851   0.50000 -235.43477
2.20   1.59608  10.88354   8.77806  9.77341E-01  9.19952E-01  2.34313E+08  2.59284E+08  3.15809E+16  1.63597E+06 -2.29003E+15  3.27738 -99.00000   0.88321   0.89768   0.10000 -235.50385
2.22   1.61385  10.88581   8.79690  1.00661E+00  8.83772E-01  2.17436E+08  2.38213E+08  4.77711E+16  1.43537E+06 -2.18874E+15  3.27738 -99.00000   0.91882   0.90066   0.10000 -235.57292
2.24   1.63214  10.88826   8.81225  1.02920E+00  9.58032E-01  7.51887E+07  1.03883E+08  1.79914E+16  5.97784E+05 -2.36333E+15  3.27738 -99.00000   0.74492   0.70326   0.30540 -235.64200
2.26   1.65245  10.89092   8.81722  1.03479E+00  1.06185E+00  5.06630E+07  1.00488E+08 -2.77845E+16  5.52223E+05 -2.62126E+15  3.27738 -99.00000   0.52171   0.51681   0.50000 -235.71107
2.28   1.67373  10.89381   8.81278  1.01681E+00  1.05045E+00  2.55782E+08  2.84708E+08 -2.38017E+16  1.49417E+06 -2.60082E+15  3.27738 -99.00000   0.91350   0.90165   0.10000 -235.78015
2.30   1.69422  10.89692   8.80116  1.00853E+00  1.00013E+00  2.45805E+08  2.72610E+08 -6.52779E+13  1.36629E+06 -2.47902E+15  3.27738 -99.00000   0.90936   0.90085   0.10000 -235.84923
2.32   1.71413  10.90026   8.78635  1.01316E+00  1.00094E+00  1.14971E+08  1.45100E+08 -4.84415E+14  6.94493E+05 -2.48046E+15  3.27738 -99.00000   0.80278   0.78982   0.21294 -235.91830
2.34   1.73453  10.90381   8.78024  1.00904E+00  1.04527E+00  5.13902E+07  1.05592E+08 -2.45675E+16  4.82650E+05 -2.59274E+15  3.27738 -99.00000   0.49108   0.50448   0.50000 -235.98738
2.36   1.75608  10.90756   8.78761  1.00170E+00  1.09814E+00  2.72895E+08  3.06431E+08 -5.59648E+16  1.33762E+06 -2.73359E+15  3.27738 -99.00000   0.89207   0.90017   0.10000 -236.05646
2.38   1.77762  10.91149   8.79994  9.85769E-01  1.04247E+00  2.64185E+08  2.95933E+08 -2.54519E+16  1.23365E+06 -2.60426E+15  3.27738 -99.00000   0.88002   0.89856   0.10000 -236.12553
2.40   1.79761  10.91562   8.80780  9.89806E-01  9.58534E-01  2.41916E+08  2.68152E+08  2.60198E+16  1.06753E+06 -2.39450E+15  3.27738 -99.00000   0.89297   0.89897   0.10000 -236.19461
2.42   1.81651  10.91993   8.81038  1.01073E+00  9.50573E-01  6.51460E+07  9.79236E+07  3.23946E+16  3.72295E+05 -2.36863E+15  3.27738 -99.00000   0.67241   0.64409   0.35973 -236.26370
2.44   1.83614  10.92440   8.81213  1.02071E+00  1.02099E+00  1.11680E+08  1.42909E+08 -1.43902E+16  5.18872E+05 -2.54188E+15  3.27738 -99.00000   0.79766   0.78154   0.22299 -236.33278
2.46   1.85752  10.92904   8.81527  1.01636E+00  1.10541E+00  1.48588E+08  1.84727E+08 -7.59285E+16  6.40518E+05 -2.76085E+15  3.27738 -99.00000   0.81752   0.82013   0.18282 -236.40186
2.48   1.87952  10.93382   8.81870  9.94547E-01  1.08191E+00  9.69742E+07  1.40111E+08 -6.20685E+16  4.63950E+05 -2.71465E+15  3.27738 -99.00000   0.68835   0.71699   0.28147 -236.47093
2.50   1.90068  10.93876   8.82096  9.88859E-01  1.03813E+00  5.89294E+07  1.12425E+08 -3.03358E+16  3.55518E+05 -2.61178E+15  3.27738 -99.00000   0.51833   0.54675   0.44820 -236.54001
2.52   1.92119  10.94380   8.82219  9.95896E-01  1.01364E+00  5.76779E+07  1.05689E+08 -1.13801E+16  3.19176E+05 -2.55316E+15  3.27738 -99.00000   0.54349   0.55369   0.44448 -236.60909
2.54   1.94126  10.94892   8.82395  1.00639E+00  9.95771E-01  9.25530E+07  1.25885E+08  3.69369E+15  3.63057E+05 -2.50855E+15  3.27738 -99.00000   0.73992   0.73239   0.26932 -236.67816
2.56   1.96115  10.95407   8.82686  1.02429E+00  9.98180E-01  1.07638E+08  1.37458E+08  1.66393E+15  3.78589E+05 -2.51395E+15  3.27738 -99.00000   0.80208   0.77739   0.22802 -236.74724
2.58   1.98145  10.95922   8.82987  1.02806E+00  1.03783E+00  8.05876E+07  1.16796E+08 -3.62483E+16  3.07205E+05 -2.61565E+15  3.27738 -99.00000   0.70935   0.69290   0.31571 -236.81631
2.60   2.00288  10.96440   8.83172  1.02249E+00  1.10827E+00  5.65854E+07  1.16293E+08 -1.08987E+17  2.92116E+05 -2.80234E+15  3.27738 -99.00000   0.49752   0.52631   0.48435 -236.88539
2.62   2.02517  10.96964   8.83260  1.00091E+00  1.09601E+00  5.61858E+07  1.22673E+08 -1.01741E+17  2.94273E+05 -2.78605E+15  3.27738 -99.00000   0.45843   0.50504   0.49541 -236.95447
2.64   2.04620  10.97499   8.83387  9.88327E-01  1.00461E+00  8.09837E+07  1.20678E+08 -5.13215E+15  2.76458E+05 -2.55978E+15  3.27738 -99.00000   0.66324   0.67640   0.31982 -237.02354
2.66   2.06548  10.98048   8.83604  1.00142E+00  9.35831E-01  8.95924E+07  1.19075E+08  7.46113E+16  2.60508E+05 -2.38054E+15  3.27738 -99.00000   0.75347   0.73505   0.26533 -237.09262
2.68   2.08433  10.98616   8.83854  1.01637E+00  9.62710E-01  7.51176E+07  1.07027E+08  4.52815E+16  2.23612E+05 -2.44246E+15  3.27738 -99.00000   0.71334   0.68524   0.31991 -237.16170
2.70   2.10438  10.99205   8.84065  1.02309E+00  1.04722E+00  6.56225E+07  1.08642E+08 -6.00531E+16  2.16769E+05 -2.65716E+15  3.27738 -99.00000   0.61797   0.61315   0.39578 -237.23077
2.72   2.12573  10.99817   8.84228  1.00692E+00  1.06650E+00  6.09593E+07  1.13981E+08 -8.88281E+16  2.17185E+05 -2.71448E+15  3.27738 -99.00000   0.53853   0.56081   0.44223 -237.29987
2.74   2.14662  11.00456   8.84369  9.92516E-01  1.02223E+00  5.55060E+07  1.09070E+08 -3.11534E+16  1.98474E+05 -2.60718E+15  3.27738 -99.00000   0.50510   0.52318   0.47325 -237.36894
2.76   2.16671  11.01124   8.84493  9.95527E-01  9.88750E-01  5.20083E+07  1.01187E+08  1.65145E+16  1.75842E+05 -2.52230E+15  3.27738 -99.00000   0.51168   0.51065   0.48716 -237.43802
2.78   2.18623  11.01822   8.84643  1.00173E+00  9.65285E-01  6.22522E+07  1.00315E+08  5.33025E+16  1.66482E+05 -2.45974E+15  3.27738 -99.00000   0.62164   0.60624   0.39444 -237.50710
2.80   2.20545  11.02550   8.84879  1.01745E+00  9.59336E-01  7.22654E+07  1.04362E+08  6.52620E+16  1.65403E+05 -2.44017E+15  3.27738 -99.00000   0.70454   0.67382   0.33188 -237.57617
2.82   2.22483  11.03310   8.85172  1.02770E+00  9.86314E-01  6.09841E+07  9.73070E+07  2.29668E+16  1.47280E+05 -2.50520E+15  3.27738 -99.00000   0.64408   0.61105   0.39972 -237.64525
