       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.3000        0.1000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.39317  10.59201   8.77886  1.01866E+00  1.00288E+00  2.43437E+08  2.69481E+08 -7.10981E+14  2.69481E+06 -2.47980E+15  3.30512 -99.00000   0.92021   0.90183   0.10000 -234.81306
2.02   1.41383  10.59457   8.78934  1.00886E+00  1.03996E+00  7.53459E+07  1.15241E+08 -1.03624E+16  1.10055E+06 -2.57543E+15  3.30512 -99.00000   0.65960   0.66416   0.33881 -234.88214
2.04   1.43460  10.59716   8.79371  9.96807E-01  1.04018E+00  5.17758E+07  1.08642E+08 -1.09303E+16  9.90828E+05 -2.58052E+15  3.30512 -99.00000   0.47505   0.49840   0.50000 -234.95122
2.06   1.45542  10.59982   8.79376  1.00016E+00  1.03382E+00  5.13837E+07  1.06329E+08 -9.65145E+15  9.26084E+05 -2.56959E+15  3.30512 -99.00000   0.48333   0.50008   0.50000 -235.02029
2.08   1.47558  10.60254   8.79093  9.90534E-01  9.78433E-01  2.45606E+08  2.72811E+08  6.44705E+15  2.26915E+06 -2.43281E+15  3.30512 -99.00000   0.89176   0.89904   0.10000 -235.08937
2.10   1.49468  10.60537   8.78613  9.97534E-01  9.38238E-01  2.33379E+08  2.57674E+08  1.92929E+16  2.04678E+06 -2.32803E+15  3.30512 -99.00000   0.90348   0.89975   0.10000 -235.15845
2.12   1.51357  10.60831   8.78036  1.01219E+00  9.61581E-01  1.40914E+08  1.67079E+08  1.25348E+16  1.26742E+06 -2.37988E+15  3.30512 -99.00000   0.85368   0.83516   0.16685 -235.22754
2.14   1.53340  10.61138   8.77531  1.00886E+00  1.02781E+00  6.41860E+07  1.06364E+08 -9.49884E+15  7.70539E+05 -2.54281E+15  3.30512 -99.00000   0.60880   0.61077   0.39268 -235.29662
2.16   1.55486  10.61458   8.77177  9.99751E-01  1.10431E+00  5.48389E+07  1.22526E+08 -3.74279E+16  8.47674E+05 -2.74126E+15  3.30512 -99.00000   0.44746   0.49988   0.50000 -235.36569
2.18   1.57648  10.61794   8.77261  9.76141E-01  1.03987E+00  5.30856E+07  1.16841E+08 -1.50343E+16  7.71962E+05 -2.59095E+15  3.30512 -99.00000   0.44350   0.48778   0.50000 -235.43477
2.20   1.59625  10.62147   8.78087  9.76676E-01  9.39933E-01  2.39658E+08  2.65854E+08  2.37072E+16  1.67743E+06 -2.34068E+15  3.30512 -99.00000   0.88044   0.89761   0.10000 -235.50385
2.22   1.61464  10.62521   8.79527  9.99557E-01  9.16936E-01  2.27602E+08  2.50601E+08  3.42023E+16  1.51002E+06 -2.27501E+15  3.30512 -99.00000   0.90782   0.89996   0.10000 -235.57292
2.24   1.63338  10.62917   8.80702  1.01305E+00  9.65785E-01  7.62389E+07  1.07549E+08  1.47092E+16  6.18877E+05 -2.38923E+15  3.30512 -99.00000   0.71813   0.69463   0.30935 -235.64200
2.26   1.65356  10.63339   8.81112  1.02046E+00  1.04675E+00  5.07737E+07  1.02077E+08 -2.10535E+16  5.60957E+05 -2.59063E+15  3.30512 -99.00000   0.50758   0.51003   0.50000 -235.71107
