       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.4000        0.4000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.30538  11.14919   8.71344  1.11465E+00  9.46607E-01  1.71557E+08  1.85706E+08  1.07860E+16  1.85706E+06 -1.91226E+15  3.84255 -99.00000   1.02972   0.91029   0.10000 -234.81306
2.02   1.32684  11.14986   8.75366  1.08055E+00  1.13785E+00  7.95599E+07  1.07724E+08 -2.92589E+16  1.02875E+06 -2.30634E+15  3.84255 -99.00000   0.79805   0.75172   0.26828 -234.88214
2.04   1.35010  11.15054   8.76603  1.05574E+00  1.18041E+00  4.56671E+07  9.70657E+07 -4.03970E+16  8.85250E+05 -2.41063E+15  3.84255 -99.00000   0.49670   0.52640   0.50000 -234.95122
2.06   1.37327  11.15124   8.76021  1.03626E+00  1.11535E+00  2.21420E+08  2.47084E+08 -2.72456E+16  2.15201E+06 -2.29448E+15  3.84255 -99.00000   0.92863   0.90350   0.10000 -235.02029
2.08   1.39423  11.15197   8.74378  1.02343E+00  9.76990E-01  1.96819E+08  2.17066E+08  5.70362E+15  1.80548E+06 -2.01430E+15  3.84255 -99.00000   0.92796   0.90229   0.10000 -235.08937
2.10   1.41230  11.15274   8.71998  1.04108E+00  8.26461E-01  1.62943E+08  1.76394E+08  4.48427E+16  1.40114E+06 -1.69636E+15  3.84255 -99.00000   0.96169   0.90395   0.10000 -235.15845
2.12   1.42839  11.15356   8.69108  1.07183E+00  8.36070E-01  1.05898E+08  1.18858E+08  4.39586E+16  9.01634E+05 -1.70070E+15  3.84255 -99.00000   0.95496   0.86021   0.14984 -235.22754
2.14   1.44750  11.15440   8.66527  1.08114E+00  1.10790E+00  6.61126E+07  9.42106E+07 -3.02365E+16  6.82495E+05 -2.24906E+15  3.84255 -99.00000   0.75869   0.70896   0.31466 -235.29662
2.16   1.47290  11.15528   8.65063  1.03896E+00  1.36665E+00  5.40739E+07  1.47356E+08 -1.08932E+17  1.01946E+06 -2.80903E+15  3.84255 -99.00000   0.38126   0.51875   0.50000 -235.36569
2.18   1.49877  11.15622   8.65337  9.80614E-01  1.17275E+00  4.98315E+07  1.27703E+08 -5.44723E+16  8.43727E+05 -2.44327E+15  3.84255 -99.00000   0.38265   0.49012   0.50000 -235.43477
2.20   1.51882  11.15727   8.67907  9.76855E-01  8.15098E-01  1.73860E+08  1.90098E+08  6.10606E+16  1.19944E+06 -1.69836E+15  3.84255 -99.00000   0.89341   0.89763   0.10000 -235.50385
