       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.4000        0.1000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.42788  10.60030   8.80860  1.02534E+00  9.68128E-01  2.52897E+08  2.78548E+08  8.53669E+15  2.78548E+06 -2.59305E+15  3.05287 -99.00000   0.93092   0.90247   0.10000 -234.81306
2.02   1.44783  10.60314   8.81684  1.01343E+00  1.02651E+00  7.45910E+07  1.17188E+08 -7.43514E+15  1.11914E+06 -2.74911E+15  3.05287 -99.00000   0.64505   0.64114   0.36368 -234.88214
2.04   1.46877  10.60602   8.82060  1.01430E+00  1.05547E+00  5.58566E+07  1.14685E+08 -1.63239E+16  1.04594E+06 -2.83278E+15  3.05287 -99.00000   0.49401   0.50705   0.50000 -234.95122
2.06   1.48961  10.60897   8.82121  1.00196E+00  1.02248E+00  5.48838E+07  1.11835E+08 -6.94110E+15  9.74046E+05 -2.74956E+15  3.05287 -99.00000   0.49172   0.50098   0.50000 -235.02029
2.08   1.50964  10.61200   8.81964  9.99893E-01  9.83420E-01  2.64502E+08  2.93357E+08  5.36088E+15  2.44004E+06 -2.64473E+15  3.05287 -99.00000   0.90154   0.89999   0.10000 -235.08937
2.10   1.52899  10.61513   8.81655  1.00657E+00  9.51493E-01  2.53836E+08  2.80144E+08  1.63982E+16  2.22526E+06 -2.55504E+15  3.05287 -99.00000   0.91204   0.90065   0.10000 -235.15845
2.12   1.54799  10.61837   8.81279  1.01447E+00  9.61459E-01  1.27609E+08  1.56746E+08  1.36117E+16  1.18904E+06 -2.57583E+15  3.05287 -99.00000   0.82589   0.80386   0.19898 -235.22754
2.14   1.56787  10.62175   8.80947  1.01939E+00  1.03251E+00  5.98640E+07  1.08897E+08 -1.20199E+16  7.88888E+05 -2.76547E+15  3.05287 -99.00000   0.56039   0.55545   0.45317 -235.29662
2.16   1.58918  10.62527   8.80694  1.00279E+00  1.08026E+00  5.78798E+07  1.25045E+08 -3.11656E+16  8.65101E+05 -2.90206E+15  3.05287 -99.00000   0.46416   0.50139   0.50000 -235.36569
2.18   1.61035  10.62896   8.80783  9.86394E-01  1.02866E+00  5.61828E+07  1.19187E+08 -1.16856E+16  7.87463E+05 -2.77092E+15  3.05287 -99.00000   0.46497   0.49310   0.50000 -235.43477
