       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.3000        0.4000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.25928  11.14701   8.67824  9.91799E-01  7.42148E-01  1.35940E+08  1.47033E+08  4.68436E+16  1.47033E+06 -1.34825E+15  4.25091 -99.00000   0.91697   0.89917   0.10000 -234.81306
2.02   1.27940  11.14759   8.72959  1.06126E+00  1.27043E+00  8.93175E+07  1.23149E+08 -5.14582E+16  1.17607E+06 -2.30860E+15  4.25091 -99.00000   0.76971   0.77051   0.24355 -234.88214
2.04   1.30518  11.14817   8.74385  9.86565E-01  1.19976E+00  4.47896E+07  1.16740E+08 -4.03359E+16  1.06468E+06 -2.20939E+15  4.25091 -99.00000   0.37851   0.49319   0.50000 -234.95122
2.06   1.32791  11.14878   8.73609  9.63551E-01  1.10138E+00  2.11821E+08  2.40331E+08 -2.15712E+16  2.09320E+06 -2.04100E+15  4.25091 -99.00000   0.84925   0.89622   0.10000 -235.02029
2.08   1.34918  11.14941   8.71406  9.71518E-01  1.00013E+00  1.91332E+08  2.14009E+08 -2.85359E+13  1.78005E+06 -1.85883E+15  4.25091 -99.00000   0.86857   0.89707   0.10000 -235.08937
2.10   1.36714  11.15008   8.68331  9.57560E-01  7.93475E-01  1.53288E+08  1.67809E+08  4.80963E+16  1.33296E+06 -1.46782E+15  4.25091 -99.00000   0.87470   0.89557   0.10000 -235.15845
2.12   1.38257  11.15079   8.64722  9.88057E-01  8.21985E-01  1.17507E+08  1.31900E+08  4.29562E+16  1.00056E+06 -1.50464E+15  4.25091 -99.00000   0.88025   0.86884   0.12959 -235.22754
2.14   1.40189  11.15153   8.61629  9.90212E-01  1.12232E+00  7.34684E+07  1.08477E+08 -3.08588E+16  7.85845E+05 -2.05118E+15  4.25091 -99.00000   0.67064   0.71526   0.28195 -235.29662
2.16   1.42741  11.15229   8.59924  9.63984E-01  1.39184E+00  5.36708E+07  2.11161E+08 -1.04837E+17  1.46087E+06 -2.57632E+15  4.25091 -99.00000   0.24502   0.48344   0.49796 -235.36569
2.18   1.45447  11.15311   8.60256  9.36399E-01  1.23087E+00  4.94596E+07  1.65903E+08 -6.57409E+16  1.09611E+06 -2.31570E+15  4.25091 -99.00000   0.27916   0.46604   0.50000 -235.43477
