       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.2000        0.4000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.22206  11.14478   8.63711  6.90710E-01  1.70151E+00  4.10773E+08  6.38491E+08 -1.16976E+17  6.38491E+06 -2.83725E+15  4.75638 -99.00000   0.44437   0.85522   0.10000 -234.81306
2.02   1.24416  11.14527   8.68883  5.40216E-01  8.87490E-01  1.18510E+08  4.03601E+08  1.97403E+16  3.85436E+06 -1.48705E+15  4.75638 -99.00000   0.15862   0.57003   0.23228 -234.88214
2.04   1.28877  11.14568   8.69241  8.83159E-01  1.26046E+00  4.72373E+07  2.46049E+08 -4.41067E+16  2.24400E+06 -1.94668E+15  4.75638 -99.00000   0.16955   0.43385   0.50000 -234.88214
2.06   1.28897  11.14627   8.69780  6.68790E-01  1.06024E+00  2.68587E+08  3.52034E+08 -1.17182E+16  3.06609E+06 -1.79629E+15  4.75638 -99.00000   0.51026   0.85048   0.10000 -235.02029
2.08   1.30851  11.14681   8.67454  6.76119E-01  9.47545E-01  2.37184E+08  2.99203E+08  1.06732E+16  2.48866E+06 -1.60365E+15  4.75638 -99.00000   0.53597   0.85210   0.10000 -235.08937
2.10   1.32746  11.14738   8.64190  7.01360E-01  9.23929E-01  2.22412E+08  2.73848E+08  1.61689E+16  2.17525E+06 -1.55991E+15  4.75638 -99.00000   0.56963   0.85742   0.10000 -235.15845
2.12   1.34476  11.14798   8.60658  6.54105E-01  8.33788E-01  1.99695E+08  2.52370E+08  3.67643E+16  1.91442E+06 -1.39901E+15  4.75638 -99.00000   0.51758   0.83626   0.10710 -235.22754
2.14   1.36328  11.14861   8.57783  6.82412E-01  1.08011E+00  1.05871E+08  2.51972E+08 -1.84916E+16  1.82538E+06 -1.80613E+15  4.75638 -99.00000   0.28673   0.63366   0.24999 -235.29662
2.16   1.36328  11.14861   8.57783  6.82412E-01  1.08011E+00  1.05871E+08  2.51972E+08 -1.84916E+16  1.82538E+06 -1.80613E+15  4.75638 -99.00000   0.28673   0.63366   0.24999 -235.29662
2.18   1.41234  11.14998   8.56368  6.93862E-01  1.15605E+00  2.84476E+08  3.74369E+08 -4.03270E+16  2.47343E+06 -1.97387E+15  4.75638 -99.00000   0.52725   0.85588   0.10000 -235.43477
2.20   1.43335  11.15078   8.58988  7.07262E-01  8.93075E-01  2.16100E+08  2.63067E+08  2.90018E+16  1.65984E+06 -1.52839E+15  4.75638 -99.00000   0.58099   0.85861   0.10000 -235.50385
2.22   1.44815  11.15171   8.64646  6.63320E-01  6.55714E-01  1.67163E+08  1.96437E+08  9.66202E+16  1.18365E+06 -1.10882E+15  4.75638 -99.00000   0.56447   0.84924   0.10000 -235.57292
2.24   1.46258  11.15278   8.70781  6.79965E-01  8.53215E-01  1.16421E+08  1.74297E+08  4.25855E+16  1.00297E+06 -1.42442E+15  4.75638 -99.00000   0.45418   0.73537   0.17994 -235.64200
