       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.2000        0.1000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.35592  10.58357   8.74548  1.03829E+00  9.96715E-01  2.17856E+08  2.40049E+08  7.45441E+14  2.40049E+06 -2.26197E+15  3.60281 -99.00000   0.94229   0.90369   0.10000 -234.81306
2.02   1.37643  10.58583   8.75748  1.05169E+00  1.06471E+00  7.38576E+07  1.05481E+08 -1.53957E+16  1.00733E+06 -2.41913E+15  3.60281 -99.00000   0.73639   0.70387   0.31144 -234.88214
2.04   1.39779  10.58812   8.76212  1.03363E+00  1.04987E+00  4.63017E+07  9.10257E+07 -1.24645E+16  8.30165E+05 -2.39294E+15  3.60281 -99.00000   0.52577   0.51627   0.50000 -234.95122
2.06   1.41829  10.59047   8.76182  1.01361E+00  1.01079E+00  4.55110E+07  8.95741E+07 -2.82723E+15  7.80158E+05 -2.30651E+15  3.60281 -99.00000   0.51499   0.50671   0.50000 -235.02029
2.08   1.43840  10.59289   8.75809  1.02310E+00  9.95083E-01  2.21994E+08  2.45315E+08  1.34931E+15  2.04044E+06 -2.27122E+15  3.60281 -99.00000   0.92584   0.90226   0.10000 -235.08937
2.10   1.45770  10.59540   8.75214  1.01421E+00  9.28486E-01  2.08614E+08  2.29313E+08  2.05156E+16  1.82149E+06 -2.11578E+15  3.60281 -99.00000   0.92266   0.90140   0.10000 -235.15845
2.12   1.47620  10.59802   8.74515  1.03065E+00  9.48954E-01  1.51252E+08  1.72563E+08  1.52814E+16  1.30903E+06 -2.15500E+15  3.60281 -99.00000   0.90336   0.86587   0.13824 -235.22754
2.14   1.49618  10.60076   8.73919  1.03959E+00  1.04658E+00  6.56589E+07  9.90582E+07 -1.46012E+16  7.17614E+05 -2.37660E+15  3.60281 -99.00000   0.68907   0.66508   0.34818 -235.29662
2.16   1.51769  10.60363   8.73526  1.01118E+00  1.09477E+00  4.93421E+07  1.06191E+08 -3.12166E+16  7.34663E+05 -2.49469E+15  3.60281 -99.00000   0.46985   0.50553   0.50000 -235.36569
2.18   1.53946  10.60663   8.73607  1.00323E+00  1.06530E+00  2.42956E+08  2.71715E+08 -2.26126E+16  1.79521E+06 -2.43740E+15  3.60281 -99.00000   0.89704   0.90032   0.10000 -235.43477
2.20   1.55954  10.60981   8.74468  9.90137E-01  9.31565E-01  2.15306E+08  2.37913E+08  2.48210E+16  1.50113E+06 -2.13183E+15  3.60281 -99.00000   0.89605   0.89900   0.10000 -235.50385
2.22   1.57747  10.61317   8.76039  1.01677E+00  8.95160E-01  2.00514E+08  2.19522E+08  3.96273E+16  1.32275E+06 -2.03877E+15  3.60281 -99.00000   0.92873   0.90165   0.10000 -235.57292
2.24   1.59611  10.61675   8.77404  1.04446E+00  9.72468E-01  7.75916E+07  1.02482E+08  1.08629E+16  5.89720E+05 -2.20795E+15  3.60281 -99.00000   0.79079   0.73915   0.27245 -235.64200
2.26   1.61617  10.62057   8.77872  1.03343E+00  1.02956E+00  4.52451E+07  8.73482E+07 -1.22151E+16  4.80014E+05 -2.33788E+15  3.60281 -99.00000   0.53530   0.51617   0.50000 -235.71107
2.28   1.63712  10.62464   8.77477  1.03492E+00  1.05607E+00  2.32222E+08  2.57624E+08 -2.43150E+16  1.35203E+06 -2.40332E+15  3.60281 -99.00000   0.93288   0.90337   0.10000 -235.78015
2.30   1.65777  10.62898   8.76496  1.01619E+00  9.96375E-01  2.23470E+08  2.47335E+08  1.64826E+15  1.23961E+06 -2.27089E+15  3.60281 -99.00000   0.91814   0.90159   0.10000 -235.84923
