       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.1000        0.2000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.26916  10.85316   8.67267  8.79399E-01  5.67585E-01  1.19950E+08  1.29451E+08  8.03631E+16  1.29451E+06 -1.05484E+15  4.34552 -99.00000   0.81486   0.88629   0.10000 -234.81306
2.02   1.28879  10.85411   8.69015  1.08444E+00  1.31573E+00  8.47376E+07  1.20617E+08 -6.13912E+16  1.15188E+06 -2.44319E+15  4.34552 -99.00000   0.76186   0.75483   0.26587 -234.88214
2.04   1.31220  10.85506   8.69623  8.94855E-01  9.99719E-01  4.18169E+07  1.11282E+08  5.76729E+13  1.01491E+06 -1.87101E+15  4.34552 -99.00000   0.33626   0.44125   0.50000 -234.95122
2.06   1.33168  10.85606   8.69511  8.97129E-01  9.99148E-01  4.16374E+07  1.09778E+08  1.82785E+14  9.56126E+05 -1.86771E+15  4.34552 -99.00000   0.34027   0.44267   0.50000 -235.02029
2.08   1.35229  10.85708   8.68841  9.09752E-01  1.01736E+00  2.09337E+08  2.38676E+08 -3.90769E+15  1.98522E+06 -1.90445E+15  4.34552 -99.00000   0.79792   0.89008   0.10000 -235.08937
2.10   1.37138  10.85815   8.67901  8.77275E-01  8.98740E-01  1.91374E+08  2.16677E+08  2.38134E+16  1.72113E+06 -1.67887E+15  4.34552 -99.00000   0.77483   0.88601   0.10000 -235.15845
2.12   1.38966  10.85928   8.66881  9.12193E-01  9.68426E-01  1.97534E+08  2.23551E+08  7.74457E+15  1.69581E+06 -1.80189E+15  4.34552 -99.00000   0.80603   0.89037   0.10000 -235.22754
2.14   1.40991  10.86047   8.66077  8.89326E-01  1.03189E+00  8.28606E+07  1.25572E+08 -8.19512E+15  9.09688E+05 -1.92109E+15  4.34552 -99.00000   0.58684   0.70686   0.26070 -235.29662
2.16   1.43108  10.86172   8.65603  8.90891E-01  1.10305E+00  4.62250E+07  1.51503E+08 -2.78059E+16  1.04815E+06 -2.05907E+15  4.34552 -99.00000   0.27182   0.43876   0.50000 -235.36569
2.18   1.45367  10.86305   8.65696  8.99262E-01  1.10128E+00  2.29974E+08  2.66231E+08 -2.87862E+16  1.75897E+06 -2.06807E+15  4.34552 -99.00000   0.77680   0.88880   0.10000 -235.43477
2.20   1.47372  10.86449   8.66644  8.73276E-01  9.03420E-01  1.94295E+08  2.20405E+08  2.87483E+16  1.39066E+06 -1.69673E+15  4.34552 -99.00000   0.76982   0.88549   0.10000 -235.50385
2.22   1.49127  10.86607   8.68608  9.09007E-01  8.97465E-01  1.84384E+08  2.06851E+08  3.17793E+16  1.24640E+06 -1.67606E+15  4.34552 -99.00000   0.81028   0.88999   0.10000 -235.57292
2.24   1.50980  10.86780   8.70588  8.89868E-01  9.41779E-01  9.01847E+07  1.21834E+08  1.88314E+16  7.01080E+05 -1.75289E+15  4.34552 -99.00000   0.65870   0.75455   0.21842 -235.64200
