       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.5000        0.2000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.42711  10.87082   8.80711  1.03450E+00  9.34904E-01  2.41630E+08  2.64760E+08  1.74048E+16  2.64760E+06 -2.49966E+15  3.02918 -99.00000   0.94412   0.90333   0.10000 -234.81306
2.02   1.44690  10.87244   8.81732  1.02524E+00  1.03323E+00  7.49246E+07  1.15864E+08 -9.29935E+15  1.10649E+06 -2.76119E+15  3.02918 -99.00000   0.66298   0.64939   0.35946 -234.88214
2.04   1.46802  10.87409   8.82178  1.01955E+00  1.06585E+00  5.60199E+07  1.14957E+08 -1.93459E+16  1.04842E+06 -2.85575E+15  3.02918 -99.00000   0.49684   0.50959   0.50000 -234.95122
2.06   1.48908  10.87578   8.82226  1.00624E+00  1.03322E+00  5.51574E+07  1.12617E+08 -1.02455E+16  9.80851E+05 -2.77509E+15  3.02918 -99.00000   0.49284   0.50310   0.50000 -235.02029
2.08   1.50926  10.87753   8.82003  1.00287E+00  9.85467E-01  2.64036E+08  2.92718E+08  4.69475E+15  2.43472E+06 -2.64792E+15  3.02918 -99.00000   0.90460   0.90029   0.10000 -235.08937
2.10   1.52852  10.87934   8.81590  1.01034E+00  9.40689E-01  2.49747E+08  2.75098E+08  2.00288E+16  2.18518E+06 -2.52329E+15  3.02918 -99.00000   0.91723   0.90102   0.10000 -235.15845
2.12   1.54729  10.88123   8.81087  1.02237E+00  9.53897E-01  1.15444E+08  1.43818E+08  1.62562E+16  1.09097E+06 -2.55150E+15  3.02918 -99.00000   0.82066   0.78855   0.21618 -235.22754
2.14   1.56717  10.88319   8.80639  1.02684E+00  1.04010E+00  6.00730E+07  1.08194E+08 -1.48007E+16  7.83798E+05 -2.78130E+15  3.02918 -99.00000   0.57014   0.56090   0.45088 -235.29662
2.16   1.58878  10.88525   8.80298  1.00663E+00  1.10021E+00  5.86704E+07  1.28348E+08 -3.88783E+16  8.87948E+05 -2.95298E+15  3.02918 -99.00000   0.46015   0.50330   0.50000 -235.36569
2.18   1.61026  10.88742   8.80391  9.85570E-01  1.03556E+00  5.65948E+07  1.21202E+08 -1.44950E+16  8.00771E+05 -2.78891E+15  3.02918 -99.00000   0.46021   0.49268   0.50000 -235.43477
2.20   1.63001  10.88974   8.81255  9.86684E-01  9.38148E-01  2.55917E+08  2.83208E+08  2.63849E+16  1.78692E+06 -2.52509E+15  3.02918 -99.00000   0.89160   0.89865   0.10000 -235.50385
2.22   1.64831  10.89222   8.82674  1.00871E+00  9.13937E-01  2.42916E+08  2.66888E+08  3.82934E+16  1.60816E+06 -2.45032E+15  3.02918 -99.00000   0.91811   0.90086   0.10000 -235.57292
2.24   1.66718  10.89489   8.83763  1.03157E+00  9.82315E-01  7.28281E+07  1.07538E+08  8.21829E+15  6.18816E+05 -2.62685E+15  3.02918 -99.00000   0.69861   0.66105   0.34965 -235.64200
2.26   1.68760  10.89779   8.84147  1.03012E+00  1.04652E+00  5.43861E+07  1.07293E+08 -2.26577E+16  5.89618E+05 -2.80121E+15  3.02918 -99.00000   0.52216   0.51462   0.50000 -235.71107
2.28   1.70848  10.90092   8.83916  1.01791E+00  1.03411E+00  2.72481E+08  3.02690E+08 -1.74348E+16  1.58854E+06 -2.77362E+15  3.02918 -99.00000   0.91632   0.90176   0.10000 -235.78015
2.30   1.72883  10.90429   8.83128  1.01276E+00  9.99352E-01  2.64873E+08  2.93466E+08  3.47290E+14  1.47082E+06 -2.68253E+15  3.02918 -99.00000   0.91408   0.90126   0.10000 -235.84923
2.32   1.74868  10.90789   8.82077  1.01375E+00  9.97471E-01  1.08088E+08  1.41679E+08  1.41806E+15  6.78118E+05 -2.67660E+15  3.02918 -99.00000   0.77340   0.75904   0.24427 -235.91830
2.34   1.76906  10.91171   8.81716  1.01509E+00  1.04397E+00  5.52422E+07  1.11957E+08 -2.58381E+16  5.11744E+05 -2.80380E+15  3.02918 -99.00000   0.50087   0.50744   0.50000 -235.98738
2.36   1.79038  10.91574   8.82355  1.00351E+00  1.07590E+00  2.88821E+08  3.23369E+08 -4.68388E+16  1.41156E+06 -2.89835E+15  3.02918 -99.00000   0.89630   0.90035   0.10000 -236.05646
2.38   1.81155  10.91997   8.83286  9.93306E-01  1.03401E+00  2.81183E+08  3.14101E+08 -2.20381E+16  1.30939E+06 -2.79301E+15  3.02918 -99.00000   0.88921   0.89933   0.10000 -236.12553
2.40   1.83162  10.92441   8.83856  9.97068E-01  9.72134E-01  1.91059E+08  2.20829E+08  1.89097E+16  8.79138E+05 -2.62629E+15  3.02918 -99.00000   0.86265   0.86173   0.13786 -236.19461
2.42   1.85083  10.92904   8.84079  1.01242E+00  9.66080E-01  8.10323E+07  1.15646E+08  2.40591E+16  4.39674E+05 -2.60520E+15  3.02918 -99.00000   0.70939   0.68634   0.31756 -236.26370
2.44   1.87073  10.93386   8.84278  1.02461E+00  1.02924E+00  1.28532E+08  1.61996E+08 -2.17133E+16  5.88173E+05 -2.77488E+15  3.02918 -99.00000   0.81295   0.79435   0.21071 -236.33278
2.46   1.89193  10.93885   8.84582  1.01538E+00  1.07954E+00  1.43425E+08  1.81515E+08 -6.20189E+16  6.29380E+05 -2.91859E+15  3.02918 -99.00000   0.80231   0.80263   0.20041 -236.40186
2.48   1.91343  10.94402   8.84894  1.00102E+00  1.06451E+00  9.88589E+07  1.43277E+08 -5.28499E+16  4.74436E+05 -2.88787E+15  3.02918 -99.00000   0.69068   0.70847   0.29182 -236.47093
2.50   1.93444  10.94934   8.85114  9.95741E-01  1.03669E+00  6.90284E+07  1.20851E+08 -3.15494E+16  3.82165E+05 -2.81895E+15  3.02918 -99.00000   0.56875   0.58812   0.41012 -236.54001
2.52   1.95497  10.95479   8.85265  1.00037E+00  1.01969E+00  7.37836E+07  1.19630E+08 -1.77541E+16  3.61276E+05 -2.77615E+15  3.02918 -99.00000   0.61700   0.62403   0.37611 -236.60909
2.54   1.97529  10.96033   8.85465  1.01220E+00  1.01205E+00  1.07429E+08  1.43331E+08 -1.13860E+16  4.13372E+05 -2.75738E+15  3.02918 -99.00000   0.75867   0.74948   0.25357 -236.67816
2.56   1.99541  10.96591   8.85750  1.02284E+00  1.00308E+00  1.13563E+08  1.46655E+08 -3.04707E+15  4.03920E+05 -2.73365E+15  3.02918 -99.00000   0.79205   0.76991   0.23534 -236.74724
2.58   2.01576  10.97151   8.86030  1.03010E+00  1.03884E+00  8.70017E+07  1.26002E+08 -4.02770E+16  3.31418E+05 -2.83340E+15  3.02918 -99.00000   0.71126   0.69308   0.31616 -236.81631
