       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            11        0.6000        0.2000       201            2.0000        6.0000        0.0200       241           -6.0000        6.0000        0.0500

       logQ = logRho - 2*logT + 12
       -6.000000

logT   logPgas      logE      logS       chiRho         chiT           Cp           Cv      dE_dRho        dS_dT      dS_dRho      mu  log_free_e   gamma1    gamma3   grad_ad       eta
2.00   1.45982  10.87515   8.83283  1.02780E+00  9.15966E-01  2.17245E+08  2.42067E+08  2.42257E+16  2.42067E+06 -2.64059E+15  2.81593 -99.00000   0.92240   0.88494   0.11826 -234.81306
2.02   1.47944  10.87693   8.83993  1.02923E+00  1.02816E+00  7.54994E+07  1.19822E+08 -8.49456E+15  1.14429E+06 -2.96142E+15  2.81593 -99.00000   0.64851   0.62972   0.38111 -234.88214
2.04   1.50033  10.87875   8.84366  1.01760E+00  1.04894E+00  5.95017E+07  1.20567E+08 -1.54877E+16  1.09958E+06 -3.02745E+15  2.81593 -99.00000   0.50220   0.50865   0.50000 -234.95122
2.06   1.52111  10.88061   8.84488  1.00717E+00  1.02585E+00  5.89006E+07  1.19146E+08 -8.58028E+15  1.03772E+06 -2.96615E+15  2.81593 -99.00000   0.49790   0.50356   0.50000 -235.02029
2.08   1.54127  10.88253   8.84423  1.00433E+00  9.89464E-01  5.69940E+07  1.11858E+08  3.66388E+15  9.30391E+05 -2.86203E+15  2.81593 -99.00000   0.51173   0.50215   0.50000 -235.08937
2.10   1.56069  10.88451   8.84233  1.00960E+00  9.52768E-01  2.72599E+08  3.00707E+08  1.71760E+16  2.38860E+06 -2.75216E+15  2.81593 -99.00000   0.91523   0.90095   0.10000 -235.15845
2.12   1.57976  10.88657   8.83999  1.02166E+00  9.68234E-01  1.00634E+08  1.34501E+08  1.20704E+16  1.02029E+06 -2.79086E+15  2.81593 -99.00000   0.76441   0.73431   0.27145 -235.22754
2.14   1.59973  10.88872   8.83789  1.02322E+00  1.03114E+00  5.80905E+07  1.14449E+08 -1.23877E+16  8.29110E+05 -2.97197E+15  2.81593 -99.00000   0.51935   0.51135   0.50000 -235.29662
2.16   1.62089  10.89097   8.83600  1.00662E+00  1.07066E+00  6.14757E+07  1.30331E+08 -2.95157E+16  9.01668E+05 -3.09414E+15  2.81593 -99.00000   0.47481   0.50329   0.50000 -235.36569
2.18   1.64190  10.89333   8.83708  9.90062E-01  1.02170E+00  5.97852E+07  1.24854E+08 -9.51519E+15  8.24900E+05 -2.95955E+15  2.81593 -99.00000   0.47408   0.49498   0.50000 -235.43477
2.20   1.66163  10.89585   8.84373  9.91076E-01  9.52280E-01  2.78155E+08  3.08018E+08  2.18941E+16  1.94346E+06 -2.75673E+15  2.81593 -99.00000   0.89499   0.89910   0.10000 -235.50385
2.22   1.68045  10.89855   8.85378  1.01110E+00  9.46065E-01  2.70133E+08  2.97680E+08  2.58419E+16  1.79370E+06 -2.73132E+15  2.81593 -99.00000   0.91753   0.90110   0.10000 -235.57292
2.24   1.69984  10.90144   8.86105  1.02675E+00  9.95781E-01  7.06545E+07  1.12830E+08  2.11359E+15  6.49270E+05 -2.87080E+15  2.81593 -99.00000   0.64295   0.61458   0.39573 -235.64200
2.26   1.72022  10.90456   8.86410  1.02465E+00  1.03418E+00  5.82467E+07  1.14775E+08 -1.79467E+16  6.30734E+05 -2.98412E+15  2.81593 -99.00000   0.52000   0.51203   0.50000 -235.71107
